card_number,card_name,keywords_on_card
100,Aries' Reflection,Advance; After; Foretell; Prophetic Bolts
101,Aries' Reflection II,Advance; After; Barrier; Foretell
102,Aries' Reflection III,After; Clear Visions; Foretell
103,Artificer's Insight,Equipment; equipments; Repeat
104,Ascension I,Buried; cardsBuried
105,Ascension II,Burning
106,Ascension III,Ascension; HEALTH; On Death; Solar Lance
107,Ashes to Ashes,cardsBuried; Inflict Burning
108,Aspect of Compassion,HEALTH; Turn
109,Aspect of Courage,Turn; Ward
110,Aspect of Vengeance,HEALTH; myCurrentHealth; Slain
111,Aspect of Wisdom,Conjure; Turn; Virtue
112,Assassin's Mark,Charges; Critical Hit; Melee; Ranged
113,Assassinate,Each; HEALTH; On Hit; sinister; Sinister; Slay
114,Asteran,Blessings; Firecast; Gain HOLY; HOLY; Increase; myEnergyHOLY
115,Astrakan,Astrakan; Basic Attack; Gain HOLYHOLY; Hex; Inflict; Lifedrain
116,Astral Visions,Conjure Stardarts; Foretell; foretell+3
117,Asylum,Corruption; corruptionCards; Repeat; Ward
118,Attendant's Presence,Court Presence; courtPresence; Decay; Inflict; Turn
119,Augury,Foretell; foretell+3; Scholar
120,Aura Mastery,Enchantment; Memorized
121,Aura of Blight,enchantmentStacks; Poison
122,Aura of Brilliance,Focus; INT; Memorized
123,Aura of Conviction,Burning; Charmed; Memorized; Turn; Zeal
124,Aura of Corruption,Affliction; Memorized
125,Aura of Decay,Afflictions
126,Aura of Depravity,Add; Memorized; Sin; Turn
127,Aura of Despair,Doom; Terror
128,Aura of Despair Listener,Terror
129,Aura of Divinity,Blessing; Memorized
130,Aura of Entropy,Anima; difficulty*2; Reap; Turn
131,Aura of Fire,Burning; Burning Unique; Immune
132,Aura of Frost,Frozen; Memorized
133,Aura of Heroism,Dazed
134,Aura of Mantras,Mantra; Memorized
135,Aura of Mind,Focus; Memorized
136,Aura of Piety,Charmed; HOLY; Increases; Inflict; Memorized; Turn
137,Aura of Purity,Memorized; Zeal
138,Aura of Resolve,Blessing; HOLY; Memorized
139,Aura of Rime,Frozen; Memorized; Momentum
140,Aura of Solace,Poison
141,Aura of Undeath,Terror
142,Aura of Venom,Memorized; Poison
143,Aura of Winter,Frozen; Memorized
144,Aura of Wrath,Affliction; Convert; Turn; Zeal
145,Aura of Zeal,HOLY; Memorized; Zeal
146,Aurora Prism,The Prism
147,Avalanche,Can; Channel; Frozen; Turn
148,Avatar of Blight,DEX; Poison; Potency
149,Avatar of Thunder,Chain; Critical Hit
150,Avenger's Choice,Blood; Charges; Conjure Forged; Fire; Forged; If HOLY
151,Avenging Strike,Basic Attack; Play; Take
152,Awaken Arsenal,Adaptation Slot; Add; Melee
153,Awakening,Bury; cardsBuried; Gain Zeal; HEALTH
154,Backfire,Armor; Burning; Inflict; Lose
155,Backswing,Basic Attack; Flanking; Haste; Make
156,Bad Apple,Add; Corrupted; Forbidden Fruit; Gain DEX; Sinister
157,Balanced Shots,Balance; Conjure
158,Baleclaw,Activate; Affliction; Armor; Durability; Evil Eye
159,Bandage,Bleeding; HEALTH; One Use; Persistent
160,Bandages,HEALTH; One Use; Persistent; Untempered
161,Banish,Burning
162,Banner of Elsmyr,Gain HOLY; Turn; Zeal
163,Banner of Kaelis,Gain STR; OR INT; Rally; Turn
164,Banner of Rehdan,Anger; Gain STR; Turn
165,Banner of Valyn,Focus; Gain INT; Turn
166,Barbarism,After; Fury; Rally; Turn
167,Barbed Bolt,Critical Hit; Marked
168,Barbed Snares,Bleeding; Slowed
169,Barfight,Basic Attacks; Critical Hit
170,Bargain,Bargain
171,Barnacled Chitin,Impervious
172,Barnacled Strike,Inflict Stagger
173,Baron's Presence,Court Presence; courtPresence; Potency
174,Barricade,Gain Armor; lastDamage
175,Bash,Armor; Critical Hit; Fortified; Interrupt; my(status)Armor
176,Bat Familiar,Activate; Bleeding; Deplete; Durability; Evasion; Familiar; Return Bat; Vampirism
177,Bathe in Blood,Bleeding; Inflict
178,Battle Axe,Bloodlust; Critical Hit; Inflict
179,Battle Brawler,my(status)Stagger; Stagger
180,Battle Broth,Charges; Create; Ingredient; Stance
181,Battle Command,Armor; Basic Attacks; Fortified
182,Battle Hardened,Bolster; Gain Bolster
183,Battle Mending,damageTaken; HEALTH
184,Battle Momentum,areaSpecial; Foes
185,Battle Sense,Armor; Foretell; foretell+3; my(status)Armor
186,Battle Station,allDurability; Durability; Equipment; Gain Armor; Restore
187,Battle Vents,damageTaken; HEALTH; Inflict Burning
188,Battle Vigor,Take; Turn
189,Battle Vitality,Grounded; Maximum Health
190,Battleclaw,Activate; Armor; Conjure; Deplete; Durability; Play; Reconfigure; Starts
191,Battlecry,Charges; Frenzy; Gain STR; Rally
192,Battlerage,Anger; Conjure; Frenzy; Fury; Your Fury
193,Battleroar,Anger; Momentum; Raise Battle; roundNumber
194,Battlespear,Gains; Untempered
195,Battlespear C,Crushing; Gain HOLY; Interrupt; Untempered
196,Battlespear D,Add; damageTakenLastTurn; Untempered
197,Battlespear E,Untempered
198,Battlespear H,Critical Hit; HOLY; Untempered
199,Battlespear L,HOLY; Lifedrain; Reaping; Untempered
200,Battlespear U,On Hit; Untempered; Upgrade
201,Battlevisor,Activate; Durability
202,Bear Claws,Gain Armor
203,Beartrap,Pinned
204,Beastform,Shift
205,Beastly Weapon Rewards,Companion Cards; Sets
206,Beguile,Charmed; difficulty+2; Heal
207,Belly Rush,Armor
208,Bellybump,Inflict Stagger; my(status)Sated; Sated; Your Sated
209,Berzerk,Charges; Fury; Shuffle
210,Beseech,Bury
211,Bestow,Persistent; Synergy; tempValue+1
212,Big Bomb,Charge; Persistent; Rampage; Ready; Speed
213,Big Eater,Immune; Ingredient; Stunned
214,Big Hack,Any; Wagon
215,Biophobia,costHand; End; Lose; Maximum HEALTH; Turn
216,Bite,
217,Bite (Companion),Advantage; Anger; companionlevel; companionlevel*2
218,Blast Junkie,Bombs; Memorized
219,Blast Zone,Bomb
220,Blaster,Charges; Equipment; equipments; Interrupt; Remove
221,Blastshield,Armor; Stagger
222,Blazing Chorus,Charges; Hymn; On Hit; Play
223,Blazing Weapon,Burning
224,Bleeding Immunity,Bleeding; Immune; Poison; Stunned
225,Blend In,Evasion
226,Bless Weapon,Basic Attack; HEALTH; HOLY; Lasting
227,Blessed,Gain HOLY; On Hit
228,Blessed,Blessings
229,Blessed Foes,
230,Blessed Strike,Basic Attack; Blessing; Chain; Make
231,Blight's Blessing,Affliction; chapter
232,Blightbite,
233,Blightstrike,Inflict; On Hit; Poison
234,Blinding Light,Blessing; Inflict; Jinxed
235,Blinkstrike,Chain; Conjure; Persistent; Turn
236,Blizzard,areaSpecial; Frozen; Remove Blizzard
237,Block,Armor
238,Blood and Iron,Battlespear; Create; damageTakenLastTurn; If HOLY
239,Blood Fever,Bleeding; Convert; Poison
240,Blood for Blood,Bleeding; Blood; Charges; Convert
241,Blood Levy,Bleeding; BLOOD
242,Blood Offering,Gain HEALTH
243,Blood Quench,Adapted; Draining Adaptation
244,Blood Ritual,Ancestral; Bleeding; Charges; Inflict; Return
245,Blood Taunt,Anger; Silenced
246,Blood Taxes,Bleeding; HEALTH
247,Bloodbank,BLOOD; Bloodbank; HEALTH; Remove; Turn
248,Bloodbite,Lifedrain
249,Bloodcast,Blood
250,Bloodcraft,Charges; Grounded; Melee Actions
251,Bloodhowl,difficulty+4; Doom; Inflict; Until
252,Bloodhunt,Basic Attack; Persistent; tempValue
253,Bloodletting,Bleeding
254,Bloodmagic,BLOOD; Charges; Convert
255,Bloodmoney,Lucky Coins; sinister; Sinister
256,Bloodmoon,Anger; Enemies; Visit
257,Bloodscent,
258,Bloom,HEALTH; Slay
259,Bloom Listener,HEALTH; Slay
260,Blue Hydra Head,Bury; Head
261,Blue Ray,damageBonus; Frozen; Inflict
262,Blunt,Interrupt; On Hit; Rampage
263,Blunt Arrow,Dazed; Inflict; On Hit
264,Boarding Party,Ambush; DEX; enemyEnergy; enemyHand
265,Body of Steel,HEALTH; Reflect
266,Boiling Rage,Anger; difficulty; Piercing
267,Bolgar Blightbane,Bolgar; Conjure; HEALTH; Poison
268,Bolster Soul,Gain HOLY; Remove VOIDVOIDVOIDVOID
269,Bolstered,Affliction; Cleanse; HEALTH
270,Bolstered Strike,Bash; Conjure; On Hit
271,Bolstering Presence,Basic Attacks; Gain Armor; HEALTH; myCurrentHealth
272,Bolter,Bolter; Critical Hits; Interrupts
273,Bomb,Charge; costThisCard; Interrupt; Persistent; Ready
274,Bombardment,areaSpecial; Momentum; Raise; Turn
275,Bone Armor,Gain Armor
276,Bone Carapace,Armor; difficulty; Turn
277,Bone Knuckles,Armor; On Hit
278,Bone Nova,Nova; novacards; Reaping; Repeat
279,Bone Pin,HEALTH; Maximum HEALTH; otherMaxHealth/20; Persistent; Steal; They
280,Bone Ritual,Armor; Return
281,Bonebreaker,Lifedrain
282,Boneshred,
283,Boneskewer,Ancestral; Bleeding; Increase; Inflict; tempValue
284,Bonesweep,Adaptation; Add; Frenzy
285,Bonfire,Bury; Turn
286,Boooo!,Unplayable
287,Boots of Speed,Activate; Durability; Haste
288,Booty,Activate; Deplete; Destroy; Durability; Grounded; Treasure
289,Bottled Message,Conjure; One Use; Tide
290,Bouldercrash,Inflict Dazed
291,Bound Spirit,Barrier; difficulty; HEALTH
292,Brace for Impact,Armor; Persistent
293,Brain Ink,Agnosiophobia; Bury
294,Brainpain,
295,Brainstorm,Gain INT; Magic Action; Scholar
296,Brainwarp,Focus; my(status)Focus
297,Brand Heretic,Demon; Frenzy
298,Brawlers Mark,Armor; Critical Hit
299,Break a Leg,Charmed; Critical Hit; Performance; performanceStacks
300,Break Apart,Crushing
301,Break Bonds,Cleanse; Dazed; Dominated; Enter Frenzied; Pinned; Reliable; Stance
302,Brew Concoction,Charges; Delve; Potion
303,Brightclaw,Activate; Armor; Blessing; Durability; Solar Lance
304,Broken Amulet,Actions; Increase; Turn
305,Broken Hilt,Broken Hilt; Eternal Winter; Frozen; On Hit; permaValue; Rhymebind
306,Brutalizing Strike,Adaptation; adaptations; Costs NEUTRAL
307,Bubbly Brew,Inflict; One Use; Poison
308,Bullet Time,Ammo; Channel; Ranged Action
309,Bullrush,Interrupt Rampage; Stunned
310,Bunker Down,Armor; damageBonus; Fortified; Upgradeable
311,Burning Arrow,Burning; Inflict
312,Burning Resolve,Burning; HEALTH
313,Burst of Karma,
314,Burst of Radiance,Armor; Evasion; Focus; Regenerate
315,Bury Alive,Discard Pile; Move; Return
316,Butter Up,Armor; Inflict Brittle
317,Buzzsword,Chain; Execute; Overkill; Reaping; Upgrade
318,By the Light,Ascended; Ascension; Conjure; HOLY; Lose; VOID
319,Caduceus,healingTurn; HEALTH
320,Call Element,Attune
321,Call of the Void,Doom; Foretold
322,Call the Spirits,DEX; Gain DEX; tempValue
323,Call the Storm,Conjure; Focus; Lightning Card
324,Call to Heel,Focus; Grounded; HEALTH; Requires; Subjugate
325,Calm the Hunger,Anger; Lifedrain; Remove VOIDVOID; Remove VOIDVOIDVOID; Remove VOIDVOIDVOIDVOID
326,Caltrops,Bleeding; damageBonus; Persistent; Piercing
327,Caravan Wagon,areaSpecial; Brightcandle; Current Health; Protect
328,Carnage,Bleeding; Melee Attacks
329,Carrion Cut,Memorized
330,Carving Knife,Delve; Deplete; Durability; Totem; Trigger; Turn; Use
331,Casa Nova,Charmed; Inflict; Nova; novacards; Repeat
332,Cash out,Conjure; GOLD; Lucky Coin
333,Cat Claws,Bleeding; Inflict
334,Cataclysm,Anger; Can; cardsDrawnThisTurn; my(status)Anger; Rampage; Upgraded
335,Catalyst,Attunement; Costs INT; Shift
336,Cauterize,Bleeding; Burning; Firecast; HEALTH; Remove
337,Celestial Claws,HEALTH; Inflict Burning
338,Censorship,Bury; HEALTH; Zeal
339,Centaur's Truth,Advance; After; Barrier
340,Centaur's Truth II,Advance; After
341,Centaur's Truth III,After; Way; Wise Unique
342,Center Self,Focus
343,Centered Strikes,Basic Attacks; Focus Unique; Mantras
344,Cerebral Surge,Chain; Focus; Increase; Maximum Handsize
345,Ceremony of Roses,Blessings; Inflict Charmed; myTotalBlessings
346,Chain Lightning,Chain; Gain Chain
347,Chakram,Clone; Summon
348,Chalice of Blood,Grounded; Heavy; Maximum Health; On Draw; One Use; permaValue; Take
349,Chaos Armor,Armor; Corrupted; Hex; Inflict
350,Chaos Casting,
351,Chaos Nova,Affliction; Inflict; Nova; novacards; Repeat
352,Chaotic Presence,Enchantment
353,Charged,Chain; Haste; On Hit
354,Charged Blade,Chain; Piercing
355,Charged Slice,damageBonus; DEX; Upgradeable
356,Charged Wand,Afflictions; HEALTH; Improved; my(status)Potency; Potency; Steal; Swap
357,Charity,HEALTH
358,Chasm,Deals; Stagger
359,Chastity,Impervious
360,Chefs' Kiss,Charmed; Ingredient; Memorized; my(status)Sated; Sated; Stagger
361,Chimera's Visage,Activate; Channel; Durability; Shift; While
362,Choice Cut,Delve; Ingredient; On Hit
363,Chop 'em Up,Conjure; Hit; Ingredient
364,Chorus,Cascade; Perform
365,Chromatic Breath,Attunement; difficultyBonus+3; Has
366,Chromatic Orb,Delve; Orb
367,Chronomend,Health
368,Chump Change,Conjure; Lucky Coin; Performance; Return
369,City of Gold,After; GOLD; Grounded; Persistent
370,Clarity,Gain INT; Scholar
371,Claw (Companion),Add; Advantage; companionlevel+2; Critical Hit
372,Cleansing Presence,Burning; HEALTH
373,Cleansing Waters,Clone; Create; Persistent; Regenerate; Tidal
374,Cleansing Waters,Affliction; Cleanse; Persistent
375,Clear Visions,Foretell
376,Cleave,Basic Attack; Conjure; Flanking; Make
377,Cleave in Twain,Grounded; Health; HEALTH; Set
378,Cleavers,Attack; Bleeding; Frenzy
379,Cleaving Carve,Adaptation; adaptations; Attack
380,Clever Maneuver,Advantage; Ambush; Gain Evasion
381,Cling to Sanity,Affliction; Cleanse; Corruption; HEALTH; Remove
382,Cloak and Dagger,Conjure; Daggers; Evasion; Persistent; Turn
383,Cloak of Night,Darkness; Double; Ferocity
384,Cloak of Sand,Ambush; Gain Swiftness; Momentum; Reset
385,Clobber,Anger; Interrupt Rampage; On Hit; Your Fury
386,Cloudkill,Poison; Trigger
387,Cluster Grenade,Charges; Deep Wound; Deplete; Inflict
388,Code of Chivalry,Blessings; Code; Double; Grounded; Turn
389,Code of Craft,Adapt; Adaptation; Code; Grounded; totalAdaptationSlots
390,Code of Egality,All; Code; Grounded
391,Code of Hope,Barrier; Code; Grounded; HEALTH
392,Code of Loyalty,Ascend; Code; Divine; Grounded
393,Code of Mind,All; Clarity; Code; Conjure; Grounded; Memorized; Turn
394,Code of Piety,Blessings; Code; Grounded; One; Viola Skysworn
395,Code of Poverty,Code; Gain HOLY; Grounded; Turn
396,Code of Steel,Battle Spear; Code; Create; Grounded; Scars; Turn
397,Coiled Strike,Adapt; Persistent; Turn
398,Coinflip,Charges; Heads; Randomly; Tails
399,Colonel,
400,Combust,Burning; Firecast; Inflict
401,Come get me!,Add; Ambush; Evasion; Snares
402,Command,
403,Compel,Choose One; Companion; Convert; Dazed; Dominated
404,Compel 1,Convert; Dazed; Dominated
405,Compel 2,
406,Concordance,Banner; Grounded; One Use; Select
407,Concussive Bomb,Charge; Inflict Stunned; Persistent; Ready; Speed
408,Conduit,actionsPlayed; Chain; Charges; Flow
409,Confession,Corruptions; Gain HOLY
410,Conjure Arrow,Arrow; Conjure
411,Conjurers Boon,Conjuration; HEALTH
412,Conquer,Banner; Memorized; Play; Rally
413,Conquest,Critical Hit; GOLD
414,Consecration,Basic Attacks; Burning
415,Consume Ashes,Anger; Gain Regenerate; Move
416,Contained Anima,Corruption; corruptionCards; Grounded; Improves; Maximum Health; One Use
417,Contaminate,damageBonus+2; Potency; Upgradeable
418,Contract of Mercy,Afflictions; Execute; Souls
419,Conviction,Bury; Gain HOLY; Zeal
420,Cooking,Garnish
421,Coordinated Strike,Advantage; Command; Flanking; Grant
422,Coronation,GOLD; Inflict Charm; INT DEX; myGold; One Use; STR HOLY
423,Corrosive Spirits,Ancestral; Inflict; Poison; Repeat; Souls
424,Corrupt Magic,Affliction; Blessing; Convert
425,Cosmic Guidance,Choose; Lifedrain; Stardart
426,Cosmic Healing,Lifedrain; Stardart
427,Cosmic Insight,Shuffle
428,Cosmic Revelation,Focus; Foretold; permaValue+3; Revelation; tempValue
429,Counterfeit,Coin; Conjure; Corrupted; HOLY; myEnergyHOLY; sinister; Sinister; Upgrade
430,Counterspell,Charges; Inflict; Jinxed
431,Court Fungus,Court Fungus; On Draw; Take
432,Court Fungus,Court Fungus; enchantmentStacks+1
433,Court of Combat,Blessing; Interrupt; STR
434,Courtly Manners,Perform; typesOfEnergy
435,Coven of Chaos,Affliction; Cursed; Increases; Inflict; s; tempValue+1
436,Coven's Sight,BLOOD; Convert; Corrupted; Cursed
437,Crafty Contract,Basic Attacks; Execute; Upgrade
438,Cranium Blow,Finale; Inflict; Jinxed
439,Creeping Death,Performance; Potency
440,Crescendo,Charges; Perform; Performing
441,Crimson Contract,Bleeding; Execute; HEALTH
442,Crone's Recipe,Cursed; Memorized; Potion
443,Crooked Wand,Affliction; Inflict; Swap
444,Crossbow,Add; Ambush OR; Finale; Snare
445,Crowd goes Wild,After; Performance
446,Crown of Unity,Activate; Durability; Surge
447,Cruel Intent,sinister; Sinister
448,Cruelty,Critical Hit; Deep Wound
449,Crush,Charmed; Cleanse
450,Crush (Companion),Advantage; companionlevel*4; Deep Wound; Inflict; Rampage
451,Crushing Blow,Frenzy; Gain STR; Rampage
452,Cryo Bomb,Charge; Frozen; Persistent; Ready; Speed
453,Cryolance,Frozen; INT; Reduce
454,Culinary Cutlery,Basic Attacks; Conjure; Cooking; NEUTRAL
455,Cunning Contract,Execute; Maximum Health
456,Cunning Plan,DEX; Next; Spend
457,Cursed Cauldron,Activate; Cursed; Deplete; Durability; Hex; Inflict; Transmute
458,Cursed Puzzlebox,Cursed; Puzzlebox; Swap
459,Cursed Strike,Basic Attack; Inflict; Make; Random Affliction
460,Cut all Ties,Add; highestSnareUpgrade; Snare
461,Cut and Run,Execute; GOLD
462,Cutlass,Ambush; Cutlasses; Reset; Swap
463,Cutlass_OLD,(cardvalue); Your Cutlasses
464,Cutting Words,Can; Deep Wound; Flanking; Inflict; On Hit
465,Daggers,Ambush; Critical Hit
466,Daggerstorm,Basic Attack; Gain DEX
467,Damnation,Execute; HEALTH; Lose; Repeat; souls; Souls
468,Dance of Blight,Completing; damageBonus+1; Gain Ritualist; Heavy; Performance; Potency; Upgradeable
469,Dance of Life,Completing; Gain Ritualist; Heavy; Maximum HEALTH; myMaxHealth/20; Performance; Restore
470,Dance of Spirits,Charges; Gain Ritualist; Heavy; Performance; Souls
471,Dancing Daggers,Basic Attack; Lasting; Performing Perform
472,Daring Contract,Boss; Execute; Maximum Health
473,Daring Dash,Charges; Evasion; Finale; Gain DEX; Perform
474,Dark Ascension I,Anger; Ascend; difficulty; Reach; VOID
475,Dark Ascension II,Ascend; Lifedrain; Reach; VOID
476,Dark Ascension III,Dark Ascension; HEALTH; Slain
477,Dark Aspiration,Corrupted; Increase; Sinister
478,Dark Blessing,Affliction; Anger; Inflict
479,Dark End,Effigy; Execute; Maximum HEALTH; Slay; souls; Souls
480,Dark Halo,Anger; Corrupted; HEALTH; Memorized
481,Dark Harvest,Effigy; Maximum HEALTH; myMaxHealth/20; Requires; Souls
482,Dark Hunt,Critical Hit; Darkness; Ferocity; Melee Action; While
483,Dark Inquiry,Corrupted; Foretell; foretell+3; HEALTH; Scholar
484,Dark Mirror Vial,Create; Cursed; Defiled; One Use
485,Dark Omen,Doom; Gain Darkness; Inflict
486,Dark Power,Add; Gain INT; INT; Malignance
487,Dark Renewal,Charges; Defiled; Destroy
488,Dark Revenance,Darkness; Health; Undead
489,Dark Spire,actionsPlayed; Add; Corruption; corruptionsInHand; Flow; Malignance; Repeat
490,Dark Starfall,Conjure; Doom; Stardart; Stardarts; Turn
491,Dark Urge,Anger; Defiled; VOID
492,Dark Whispers,Add; Corrupted; Forbidden; Fruit; Gain INT
493,Darksteel Ammo,Armor; my(status)Armor; Ranged Actions
494,Dash,Ambush; DEX; Evasion; Gain DEX
495,Deadeye Rounds,Ranged Actions; Reload; Turn
496,Deadly Dance,Evade; Focus; my(status)Focus
497,Deadly Effigy,Blessings; Enchantments; Slain
498,Death Snap,Advantage; Bleeding; Marked; Your Companion
499,Deathblow,Free; HEALTH; On Draw
500,Deathwish,Critical Hits; Take
501,Decommission,allDurability; allDurability+6; Durability; Equipment; Execute
502,Dedication,Ascend; Bury; Charges; Deplete; HOLY
503,Deep Faith,Add; Blessings; Firecast; HOLY
504,Deep Prayer,Burning; Charmed; HOLY Unique
505,Deep Study,Memorized; Repeat
506,Deep Wound,Bleeding; Deep Wound; Deep Wounds; enchantmentStacks
507,Defensive Strike,Gain Armor
508,Deflect,Charges; Resilience
509,Defy Death,Armor; HEALTH; One Use
510,Deific Larceny,Conjure; HOLY
511,Deification,Ascend; Bury; Charges; HOLY
512,Delay,Inflict; Jinxed
513,Demolition,Bomb; Charges; Delve
514,Demon Claws,Add; Lifedrain; On Hit; Terror
515,Demon's Tail,Critical Hit; Fury; Garnish; One Use; Shuffle
516,Demonform I,Actions; BLOOD; Convert; defiled; VOID
517,Demonform II,HEALTH; myCurrentHealth
518,Demonform III,Conjure; Control; End; Fight; Lifedrain; LOSE YOUR; SOUL; Turn
519,Demonology,BLOOD; Convert; Corrupted
520,Dervish,Basic Attack; Make; Momentum; my(status)Momentum; Repeat
521,Desert Rush,Agile; Foretell; foretell+3; Foretold; Free; Momentum
522,Desert Veil,Swiftness
523,Determination,Also; Anger; Frenzy; Melee; STR
524,Devoted Strike,Gain HOLY; HOLY; On Hit
525,Devour Vitality,Execute; Maximum HEALTH; otherMaxHealth
526,Diamond Potion,Impervious; One Use
527,Diligence,Gain HOLY
528,Direction,Gain HOLY; Your Companion
529,Disguise Self,Channel; Monster Card; Pacified
530,Dispel Magic,Blessings; Dispel
531,Distraction,Add; Ambush; Corruption; enemyCorruptions; Glimmer; HEALTH
532,Dividing Strike,Charges; Deep Wound; EVEN; HEALTH; On Hit
533,Divine Arsenal,Add; Battlespear; Memorized
534,Divine Bulwark,Barrier; Zeal
