ordinal,source_id,name,slug,category,type,rarity,expansion,color,cost_dex,cost_int,cost_str,cost_holy,cost_neutral,cost_dexint,cost_dexstr,cost_intstr,cost_blood,observed_terms,okf_path
35,104681,Agnosiophobia,agnosiophobia,Enchantment,Utility,Monster,None,Monster,0,0,0,0,0,0,0,0,0,(areaSpecial)Agnosiophobia; Add; Agnosiophobia; Combat; Increases; Insanity; Lowered,cards/0035-agnosiophobia-104681.okf.md
36,436515,Agonizing Howl,agonizing-howl,Action,Utility,Monster,None,Monster,0,0,0,0,1,0,0,0,0,Add; Blessing; difficulty; Dispel; Terrors,cards/0036-agonizing-howl-436515.okf.md
37,143011,Agonizing Strike,agonizing-strike,Action,Melee,Monster,None,Monster,0,0,0,0,1,0,0,0,0,Impervious,cards/0037-agonizing-strike-143011.okf.md
38,797625,Agony,agony,Action,Utility,Monster,None,Monster,0,0,0,0,1,0,0,0,0,Anger; opponentLastActions,cards/0038-agony-797625.okf.md
39,3447,Aim and Pray,aim-and-pray,Action,Magic,Monster,None,Monster,0,0,0,0,1,0,0,0,0,Burning; damageBonus; Frozen; HEALTH,cards/0039-aim-and-pray-3447.okf.md
40,477973,Aimed Shot,aimed-shot,Action,Ranged,Uncommon,Core,Green,0,0,0,0,0,0,0,0,0,Ambush; Critical Hit; Increase; Persistent; tempValue; Turn,cards/0040-aimed-shot-477973.okf.md
41,354742,Alchemic Presence,alchemic-presence,Enchantment,Utility,Legendary,None,Gold,0,0,0,0,0,0,0,0,0,Conjure; Potion,cards/0041-alchemic-presence-354742.okf.md
42,810271,Alignment,alignment,Action,Utility,Legendary,Catalyst,Blue,0,0,0,0,0,0,0,0,0,Critical Hit; Magic Action,cards/0042-alignment-810271.okf.md
43,977875,Alone in the Dark,alone-in-the-dark,Action,Melee,Common,Catalyst,Orange,0,0,0,0,0,0,1,0,2,Blessings; Darkness; On Hit,cards/0043-alone-in-the-dark-977875.okf.md
44,277034,Alter Memory,alter-memory,Action,Utility,Rare,Eclypse,Aqua,0,0,0,0,0,1,0,0,0,Charges; Choose; Memorized,cards/0044-alter-memory-277034.okf.md
45,321091,Amber Blast,amber-blast,Action,Magic,Monster,None,Monster,0,0,0,0,1,0,0,0,0,Amber Infusion; Reduce,cards/0045-amber-blast-321091.okf.md
46,980622,Amber Bomb,amber-bomb,Action,Ranged,Monster,None,Monster,0,0,0,0,2,0,0,0,0,difficulty+4; Inflict; Slow,cards/0046-amber-bomb-980622.okf.md
47,41063,Amber Infusion,amber-infusion,Enchantment,Utility,Monster,None,Monster,0,0,0,0,0,0,0,0,0,Cards; enchantmentStacks,cards/0047-amber-infusion-41063.okf.md
48,34076,Amber Shell,amber-shell,Enchantment,Utility,Monster,None,Monster,0,0,0,0,0,0,0,0,0,Armor,cards/0048-amber-shell-34076.okf.md
49,117587,Ambition,ambition,Revelation,Utility,Legendary,Core Extended,Aqua,0,0,0,0,0,0,0,0,0,Consumes; Focus; Upgrade,cards/0049-ambition-117587.okf.md
50,440440,Amp Up,amp-up,Enchantment,Utility,Rare,Catalyst,Blue,0,1,0,0,0,0,0,0,0,Chain; Lightning Action; magicActionsPlayed,cards/0050-amp-up-440440.okf.md
51,2485285,Amphibify,amphibify,Action,Utility,Legendary,Eclypse,Blue,0,1,0,0,1,0,0,0,0,Can; Cursed; HEALTH; Persistent; Set; tempValue,cards/0051-amphibify-2485285.okf.md
52,424973,Amplification,amplification,Action,Utility,Rare,Metaprogress,Blue,0,1,0,0,0,0,0,0,0,Attunement; damageBonus; Upgradeable,cards/0052-amplification-424973.okf.md
53,618846,Ancient Curse,ancient-curse,Action,Utility,Legendary,Eclypse,Orange,0,0,0,0,0,0,1,0,0,After; Deadly Effigy; Heavy; tempValue,cards/0053-ancient-curse-618846.okf.md
54,178258,Ancient Markings,ancient-markings,Action,Utility,Common,Catalyst,Orange,0,0,0,0,0,0,1,0,0,Ancestral; Delve; Summon; Totem; Totems,cards/0054-ancient-markings-178258.okf.md
55,996896,Ancient Stirrings,ancient-stirrings,Action,Utility,Rare,Metamorphosis,Aqua,0,0,0,0,0,2,0,0,0,Dragon; Form; Shift,cards/0055-ancient-stirrings-996896.okf.md
56,813243,Ancient Whetstone,ancient-whetstone,Artifact,Utility,Legendary,Infinitum,Brown,0,0,0,0,1,0,0,0,0,Basic Attack; damageBonus; Grounded; Heavy; On Draw; One Use; Slow,cards/0056-ancient-whetstone-813243.okf.md
57,772211,Angelic Choir,angelic-choir,Enchantment,Divine,Rare,Synthesis,Gold,0,0,0,1,0,0,0,0,0,HEALTH; HOLY; Hymn; Performance,cards/0057-angelic-choir-772211.okf.md
58,518010,Angelic Ward,angelic-ward,Action,Utility,Monster,None,Monster,0,0,0,0,1,0,0,0,0,Impervious; Regain Divinity; Ward,cards/0058-angelic-ward-518010.okf.md
59,575118,Anima,anima,Enchantment,Utility,Monster,None,Monster,0,0,0,0,0,0,0,0,0,(areaSpecial)Anima; Anima; Foes; Increased; Maximum HEALTH; Reaping; Reduced,cards/0059-anima-575118.okf.md
60,165064,Anima Listener,anima-listener,Enchantment,Utility,Monster,None,Monster,0,0,0,0,0,0,0,0,0,(areaSpecial)Anima; Anima; Dealing Reaping; Foes; Maximum HEALTH,cards/0060-anima-listener-165064.okf.md
61,122576,Anneal,anneal,Action,Utility,Monster,None,Monster,0,0,0,0,1,0,0,0,0,Bleeding; Burning; Inflict,cards/0061-anneal-122576.okf.md
62,23680,Annulling Strike,annulling-strike,Action,Divine,Monster,None,Monster,0,0,0,0,2,0,0,0,0,On Hit; Reaping; Remove,cards/0062-annulling-strike-23680.okf.md
63,720652,Another Round,another-round,Action,Utility,Monster,None,Monster,0,0,0,0,1,0,0,0,0,Conjure; Delirious; Inflict; Potion,cards/0063-another-round-720652.okf.md
64,914082,Antimage Bomb,antimage-bomb,Action,Ranged,Legendary,None,Brown,0,0,0,0,3,0,0,0,0,Blessings; Charge; Dispel; Persistent; Ready; Speed,cards/0064-antimage-bomb-914082.okf.md
65,493638,Antimagic Zone,antimagic-zone,Enchantment,Utility,Monster,None,Monster,0,0,0,0,0,0,0,0,0,Affliction,cards/0065-antimagic-zone-493638.okf.md
66,522815,Anyform Claw,anyform-claw,Action,Melee,Common,Metamorphosis,Aqua,0,0,0,0,0,0,0,0,0,Anyform Claw; Transform,cards/0066-anyform-claw-522815.okf.md
67,489871,Apex Maul,apex-maul,Action,Melee,Monster,None,Monster,0,0,0,0,1,0,0,0,0,Gain Ferocity,cards/0067-apex-maul-489871.okf.md
68,777609,Apex Predator,apex-predator,Enchantment,Utility,Monster,None,Monster,0,0,0,0,0,0,0,0,0,Critical Hit; Darkness; Ferocity; While,cards/0068-apex-predator-777609.okf.md
69,883686,Apex Strike,apex-strike,Action,Melee,Uncommon,Catalyst,Orange,0,0,0,0,0,0,1,0,2,Bleeding; Darkness; While,cards/0069-apex-strike-883686.okf.md
70,401376,Apocalypse,apocalypse,Action,Divine,Rare,Catalyst,Gold,0,0,0,2,1,0,0,0,0,Bury; Conjure; Persistent; s; Solar Lance; Synergy; tempValue+1,cards/0070-apocalypse-401376.okf.md
71,112315,Aquarius' Dream,aquarius-dream,Path,Utility,Legendary,Eclypse,Aqua,0,0,0,0,0,1,0,0,0,Advance; After; Tide,cards/0071-aquarius-dream-112315.okf.md
72,112314,Aquarius' Dream II,aquarius-dream-ii,Path,Utility,Legendary,None,Aqua,0,0,0,0,0,1,0,0,0,Advance; After; Tide,cards/0072-aquarius-dream-ii-112314.okf.md
73,412315,Aquarius' Dream III,aquarius-dream-iii,Path,Utility,Legendary,None,Aqua,0,0,0,0,0,1,0,0,0,After; Eternity; Spark; Tide,cards/0073-aquarius-dream-iii-412315.okf.md
74,393137,Aquatic Clone,aquatic-clone,Form,Utility,Common,Catalyst,Aqua,0,0,0,0,0,0,0,0,0,After; Basic Attack; Channel; Clones,cards/0074-aquatic-clone-393137.okf.md
75,898810,Aquatic Phalanx,aquatic-phalanx,Action,Utility,Legendary,Catalyst,Aqua,0,0,0,0,0,3,0,0,0,Barrier; Clones,cards/0075-aquatic-phalanx-898810.okf.md
76,190456,Arachnid Cutters,arachnid-cutters,Action,Melee,Monster,None,Monster,0,0,0,0,1,0,0,0,0,Climb; If Wall,cards/0076-arachnid-cutters-190456.okf.md
77,341808,Arachnid Strike,arachnid-strike,Action,Melee,Monster,None,Monster,0,0,0,0,3,0,0,0,0,,cards/0077-arachnid-strike-341808.okf.md
78,44101,Arachnid Swarm,arachnid-swarm,Action,Utility,Monster,None,Monster,0,0,0,0,1,0,0,0,0,Add; Spider Broodlings,cards/0078-arachnid-swarm-44101.okf.md
79,5158902,Arboreal Claws,arboreal-claws,Basic Attack,Melee,Common,Metaprogress,Brown,0,0,0,0,0,0,0,0,0,Increase; NEUTRAL,cards/0079-arboreal-claws-5158902.okf.md
80,218837,Arcane Alignment,arcane-alignment,Enchantment,Utility,Rare,Catalyst,Blue,0,2,0,0,0,0,0,0,0,Attunement; Critical Hit; Magic Action,cards/0080-arcane-alignment-218837.okf.md
81,253781,Arcane Anvil,arcane-anvil,Item,Utility,Uncommon,Catalyst,Brown,0,0,0,0,1,0,0,0,0,Add; Basic Attack; One Use,cards/0081-arcane-anvil-253781.okf.md
82,353897,Arcane Arrow,arcane-arrow,Action,Ranged,Rare,Core,Aqua,0,0,0,0,0,0,0,0,0,Blessing; Dispel,cards/0082-arcane-arrow-353897.okf.md
83,509021,Arcane Barrage,arcane-barrage,Action,Magic,Common,Catalyst,Blue,0,1,0,0,0,0,0,0,0,(cardvalue); Arcane Barrage; Mergecraft; Repeat,cards/0083-arcane-barrage-509021.okf.md
84,149592,Arcane Blades,arcane-blades,Enchantment,Utility,Legendary,Core,Purple,0,0,0,0,0,0,0,3,0,Magic Action; Melee Action,cards/0084-arcane-blades-149592.okf.md
85,862599,Arcane Bow,arcane-bow,Basic Attack,Ranged,Rare,Metaprogress,Aqua,0,0,0,0,1,0,0,0,0,Focus; Foretold; Repeat; Shoot; Stardart; tempValue,cards/0085-arcane-bow-862599.okf.md
86,837074,Arcane Coil,arcane-coil,Enchantment,Utility,Uncommon,Core,Blue,0,1,0,0,0,0,0,0,0,Lightning Bolt,cards/0086-arcane-coil-837074.okf.md
87,944917,Arcane Inkwell,arcane-inkwell,Item,Utility,Legendary,Infinitum,Blue,0,0,0,0,1,0,0,0,0,Delve; Mergecraft; One Use,cards/0087-arcane-inkwell-944917.okf.md
88,482976,Arcane Lance,arcane-lance,Action,Magic,Common,Infinitum,Blue,0,1,0,0,0,0,0,0,0,Free; Mergecraft,cards/0088-arcane-lance-482976.okf.md
89,944422,Arcane Missiles,arcane-missiles,Action,Magic,Common,Infinitum,Blue,0,1,0,0,0,0,0,0,0,damageBonus; Mergecraft; Upgrades,cards/0089-arcane-missiles-944422.okf.md
90,157102,Arcane Overload,arcane-overload,Action,Magic,Monster,None,Monster,0,0,0,0,1,0,0,0,0,Artifacts; Enchantments; otherEnchantments; Repeat,cards/0090-arcane-overload-157102.okf.md
91,28569,Arcane Quiver,arcane-quiver,Equipment,Utility,Uncommon,Catalyst,Brown,0,0,0,0,2,0,0,0,0,Activate; Arrow; Delve; Durability; Ranged Actions,cards/0091-arcane-quiver-28569.okf.md
92,426088,Arcane Ripple,arcane-ripple,Action,Magic,Rare,Infinitum,Blue,0,2,0,0,0,0,0,0,0,Conjure; Free,cards/0092-arcane-ripple-426088.okf.md
93,953488,Arcane Slice,arcane-slice,Action,Utility,Common,Metaprogress,Purple,0,0,0,0,0,0,0,1,0,actionsPlayed; Basic Attack; Conjure; Flow; Magic Action; Make,cards/0093-arcane-slice-953488.okf.md
94,967014,Arcane Visions,arcane-visions,Action,Utility,Rare,Infinitum,Aqua,0,0,0,0,0,2,0,0,0,Conjure; Foretell; foretell+3; Magic Action; Scholar,cards/0094-arcane-visions-967014.okf.md
95,821566,Arcane Ward,arcane-ward,Enchantment,Utility,Common,None,Green,0,0,0,0,0,0,0,0,0,,cards/0095-arcane-ward-821566.okf.md
96,894141,Arcane Warding,arcane-warding,Action,Magic,Rare,Core,Blue,0,1,0,0,0,0,0,0,0,Barrier; Permanently; permaValue+2,cards/0096-arcane-warding-894141.okf.md
97,261420,Arcane Weaver,arcane-weaver,Basic Attack,Magic,Common,Metaprogress,Brown,0,0,0,0,1,0,0,0,0,Echo; Magic,cards/0097-arcane-weaver-261420.okf.md
98,783723,Arcanist's Locket,arcanist-s-locket,Item,Utility,Uncommon,Catalyst,Brown,0,0,0,0,1,0,0,0,0,Focus; Gain INT; INT; While,cards/0098-arcanist-s-locket-783723.okf.md
99,884508,Ardor,ardor,Action,Divine,Common,Catalyst,Gold,0,0,0,0,0,0,0,0,0,Code; Gain Impervious; Gain Zeal; HOLY,cards/0099-ardor-884508.okf.md
100,612033,Aries' Reflection,aries-reflection,Path,Utility,Rare,Eclypse,Aqua,0,0,0,0,0,1,0,0,0,Advance; After; Foretell; Prophetic Bolts,cards/0100-aries-reflection-612033.okf.md
101,211470,Aries' Reflection II,aries-reflection-ii,Path,Utility,Rare,None,Aqua,0,0,0,0,0,1,0,0,0,Advance; After; Barrier; Foretell,cards/0101-aries-reflection-ii-211470.okf.md
102,992583,Aries' Reflection III,aries-reflection-iii,Path,Utility,Rare,None,Aqua,0,0,0,0,0,1,0,0,0,After; Clear Visions; Foretell,cards/0102-aries-reflection-iii-992583.okf.md
103,337175,Artificer's Insight,artificer-s-insight,Action,Utility,Rare,Catalyst,Purple,0,0,0,0,0,0,0,1,0,Equipment; equipments; Repeat,cards/0103-artificer-s-insight-337175.okf.md
104,154100,Ascension I,ascension-i,Form,Divine,Legendary,None,Gold,0,0,0,0,0,0,0,0,0,Buried; cardsBuried,cards/0104-ascension-i-154100.okf.md
105,398867,Ascension II,ascension-ii,Form,Divine,Legendary,None,Gold,0,0,0,0,0,0,0,0,0,Burning,cards/0105-ascension-ii-398867.okf.md
106,507920,Ascension III,ascension-iii,Form,Divine,Legendary,None,Gold,0,0,0,0,0,0,0,0,0,Ascension; HEALTH; On Death; Solar Lance,cards/0106-ascension-iii-507920.okf.md
107,802340,Ashes to Ashes,ashes-to-ashes,Action,Divine,Rare,Metamorphosis,Gold,0,0,0,2,0,0,0,0,0,cardsBuried; Inflict Burning,cards/0107-ashes-to-ashes-802340.okf.md
108,823805,Aspect of Compassion,aspect-of-compassion,Enchantment,Utility,Legendary,None,Gold,0,0,0,0,0,0,0,0,0,HEALTH; Turn,cards/0108-aspect-of-compassion-823805.okf.md
109,599544,Aspect of Courage,aspect-of-courage,Enchantment,Utility,Legendary,None,Gold,0,0,0,0,0,0,0,0,0,Turn; Ward,cards/0109-aspect-of-courage-599544.okf.md
110,105003,Aspect of Vengeance,aspect-of-vengeance,Enchantment,Utility,Rare,None,Red,0,0,1,0,0,0,0,0,0,HEALTH; myCurrentHealth; Slain,cards/0110-aspect-of-vengeance-105003.okf.md
111,456818,Aspect of Wisdom,aspect-of-wisdom,Enchantment,Utility,Legendary,None,Gold,0,0,0,0,0,0,0,0,0,Conjure; Turn; Virtue,cards/0111-aspect-of-wisdom-456818.okf.md
112,778358,Assassin's Mark,assassin-s-mark,Action,Utility,Rare,Core,Green,1,0,0,0,0,0,0,0,0,Charges; Critical Hit; Melee; Ranged,cards/0112-assassin-s-mark-778358.okf.md
113,600185,Assassinate,assassinate,Action,Melee,Rare,Core,Green,1,0,0,0,0,0,0,0,0,Each; HEALTH; On Hit; sinister; Sinister; Slay,cards/0113-assassinate-600185.okf.md
114,178462,Asteran,asteran,Basic Attack,Divine,Legendary,Infinitum,Brown,0,0,0,0,1,0,0,0,0,Blessings; Firecast; Gain HOLY; HOLY; Increase; myEnergyHOLY,cards/0114-asteran-178462.okf.md
115,761240,Astrakan,astrakan,Basic Attack,Divine,Legendary,None,Brown,0,0,0,0,3,0,0,0,0,Astrakan; Basic Attack; Gain HOLYHOLY; Hex; Inflict; Lifedrain,cards/0115-astrakan-761240.okf.md
116,456437,Astral Visions,astral-visions,Action,Utility,Rare,Infinitum,Aqua,0,0,0,0,0,1,0,0,0,Conjure Stardarts; Foretell; foretell+3,cards/0116-astral-visions-456437.okf.md
117,698510,Asylum,asylum,Action,Utility,Monster,None,Monster,0,0,0,0,1,0,0,0,0,Corruption; corruptionCards; Repeat; Ward,cards/0117-asylum-698510.okf.md
118,617523,Attendant's Presence,attendant-s-presence,Enchantment,Utility,Monster,None,Monster,0,0,0,0,0,0,0,0,0,Court Presence; courtPresence; Decay; Inflict; Turn,cards/0118-attendant-s-presence-617523.okf.md
119,449528,Augury,augury,Action,Utility,Uncommon,Infinitum,Aqua,0,0,0,0,0,1,0,0,0,Foretell; foretell+3; Scholar,cards/0119-augury-449528.okf.md
120,645739,Aura Mastery,aura-mastery,Enchantment,Utility,Uncommon,Synthesis,Aqua,0,0,0,0,0,1,0,0,0,Enchantment; Memorized,cards/0120-aura-mastery-645739.okf.md
121,885764,Aura of Blight,aura-of-blight,Enchantment,Utility,Monster,None,Monster,0,0,0,0,0,0,0,0,0,enchantmentStacks; Poison,cards/0121-aura-of-blight-885764.okf.md
122,824287,Aura of Brilliance,aura-of-brilliance,Enchantment,Utility,Rare,Core,Blue,0,2,0,0,0,0,0,0,0,Focus; INT; Memorized,cards/0122-aura-of-brilliance-824287.okf.md
123,838666,Aura of Conviction,aura-of-conviction,Enchantment,Divine,Uncommon,Synthesis,Gold,0,0,0,1,0,0,0,0,0,Burning; Charmed; Memorized; Turn; Zeal,cards/0123-aura-of-conviction-838666.okf.md
124,417583,Aura of Corruption,aura-of-corruption,Enchantment,Utility,Rare,Infinitum,Purple,0,0,0,0,0,0,0,2,0,Affliction; Memorized,cards/0124-aura-of-corruption-417583.okf.md
125,19871,Aura of Decay,aura-of-decay,Enchantment,Utility,Monster,None,Monster,0,0,0,0,0,0,0,0,0,Afflictions,cards/0125-aura-of-decay-19871.okf.md
126,855541,Aura of Depravity,aura-of-depravity,Enchantment,Corruption,Monster,None,Monster,0,0,0,0,0,0,0,1,0,Add; Memorized; Sin; Turn,cards/0126-aura-of-depravity-855541.okf.md
127,7148,Aura of Despair,aura-of-despair,Enchantment,Utility,Monster,None,Monster,0,0,0,0,0,0,0,0,0,Doom; Terror,cards/0127-aura-of-despair-7148.okf.md
128,111905,Aura of Despair Listener,aura-of-despair-listener,Enchantment,Utility,Monster,None,Monster,0,0,0,0,0,0,0,0,0,Terror,cards/0128-aura-of-despair-listener-111905.okf.md
129,774782,Aura of Divinity,aura-of-divinity,Enchantment,Utility,Rare,Core,Purple,0,1,1,0,0,0,0,0,0,Blessing; Memorized,cards/0129-aura-of-divinity-774782.okf.md
130,649331,Aura of Entropy,aura-of-entropy,Enchantment,Utility,Monster,None,Monster,0,0,0,0,0,0,0,0,0,Anima; difficulty*2; Reap; Turn,cards/0130-aura-of-entropy-649331.okf.md
131,689887,Aura of Fire,aura-of-fire,Enchantment,Utility,Monster,None,Monster,0,0,0,0,0,0,0,0,0,Burning; Burning Unique; Immune,cards/0131-aura-of-fire-689887.okf.md
132,43482,Aura of Frost,aura-of-frost,Enchantment,Utility,Monster,None,Monster,0,0,0,0,0,0,0,0,0,Frozen; Memorized,cards/0132-aura-of-frost-43482.okf.md
133,401179,Aura of Heroism,aura-of-heroism,Enchantment,Utility,Common,None,Purple,0,0,0,0,0,0,0,1,0,Dazed,cards/0133-aura-of-heroism-401179.okf.md
134,691913,Aura of Mantras,aura-of-mantras,Enchantment,Utility,Uncommon,Synthesis,Aqua,0,0,0,0,0,1,0,0,0,Mantra; Memorized,cards/0134-aura-of-mantras-691913.okf.md
135,895231,Aura of Mind,aura-of-mind,Enchantment,Utility,Common,Synthesis,Aqua,0,0,0,0,0,1,0,0,0,Focus; Memorized,cards/0135-aura-of-mind-895231.okf.md
136,636398,Aura of Piety,aura-of-piety,Enchantment,Divine,Rare,Synthesis,Gold,0,0,0,1,0,0,0,0,0,Charmed; HOLY; Increases; Inflict; Memorized; Turn,cards/0136-aura-of-piety-636398.okf.md
137,820364,Aura of Purity,aura-of-purity,Enchantment,Divine,Legendary,Infinitum,Gold,0,0,0,1,0,0,0,0,0,Memorized; Zeal,cards/0137-aura-of-purity-820364.okf.md
138,494571,Aura of Resolve,aura-of-resolve,Enchantment,Utility,Legendary,Synthesis,Purple,0,0,0,0,0,0,0,1,0,Blessing; HOLY; Memorized,cards/0138-aura-of-resolve-494571.okf.md
139,801101,Aura of Rime,aura-of-rime,Enchantment,Utility,Rare,Core Extended,Blue,0,1,0,0,0,0,0,0,0,Frozen; Memorized; Momentum,cards/0139-aura-of-rime-801101.okf.md
140,479399,Aura of Solace,aura-of-solace,Enchantment,Utility,Common,None,Red,0,0,1,0,0,0,0,0,0,Poison,cards/0140-aura-of-solace-479399.okf.md
141,815985,Aura of Undeath,aura-of-undeath,Action,Utility,Monster,None,Monster,0,0,0,0,1,0,0,0,0,Terror,cards/0141-aura-of-undeath-815985.okf.md
