card_number,card_name,source_id,character,type,rarity,keywords_on_card,okf_path
56,Carve Reality,CARVEREALITY,watcher,Attack,Uncommon,,cards/0056-carve-reality-carvereality.okf.md
57,Catalyst,CATALYST,silent,Skill,Uncommon,Exhaust; Poison,cards/0057-catalyst-catalyst.okf.md
58,Chaos,CHAOS,defect,Skill,Uncommon,Channel; Orb,cards/0058-chaos-chaos.okf.md
59,Charge Battery,CONSERVE_BATTERY,defect,Skill,Common,Block,cards/0059-charge-battery-conserve_battery.okf.md
60,Chill,CHILL,defect,Skill,Uncommon,Channel; Exhaust; Frost; Innate,cards/0060-chill-chill.okf.md
61,Choke,CHOKE,silent,Attack,Uncommon,,cards/0061-choke-choke.okf.md
62,Chrysalis,CHRYSALIS,colorless,Skill,Rare,draw; Exhaust,cards/0062-chrysalis-chrysalis.okf.md
63,Clash,CLASH,ironclad,Attack,Common,,cards/0063-clash-clash.okf.md
64,Claw,GASH,defect,Attack,Common,,cards/0064-claw-gash.okf.md
65,Cleave,CLEAVE,ironclad,Attack,Common,,cards/0065-cleave-cleave.okf.md
66,Cloak and Dagger,CLOAK_AND_DAGGER,silent,Skill,Common,Block; Shiv; Shivs,cards/0066-cloak-and-dagger-cloak_and_dagger.okf.md
67,Clothesline,CLOTHESLINE,ironclad,Attack,Common,Weak,cards/0067-clothesline-clothesline.okf.md
68,Clumsy,CLUMSY,curse,Curse,Curse,Ethereal; Unplayable,cards/0068-clumsy-clumsy.okf.md
69,Cold Snap,COLD_SNAP,defect,Attack,Common,Channel; Frost,cards/0069-cold-snap-cold_snap.okf.md
70,Collect,COLLECT,watcher,Skill,Uncommon,Exhaust,cards/0070-collect-collect.okf.md
71,Combust,COMBUST,ironclad,Power,Uncommon,,cards/0071-combust-combust.okf.md
72,Compile Driver,COMPILE_DRIVER,defect,Attack,Common,Draw; Orb,cards/0072-compile-driver-compile_driver.okf.md
73,Concentrate,CONCENTRATE,silent,Skill,Uncommon,Discard,cards/0073-concentrate-concentrate.okf.md
74,Conclude,CONCLUDE,watcher,Attack,Uncommon,,cards/0074-conclude-conclude.okf.md
75,Conjure Blade,CONJUREBLADE,watcher,Skill,Rare,draw; Exhaust,cards/0075-conjure-blade-conjureblade.okf.md
76,Consecrate,CONSECRATE,watcher,Attack,Common,,cards/0076-consecrate-consecrate.okf.md
77,Consume,CONSUME,defect,Skill,Uncommon,Focus; Orb,cards/0077-consume-consume.okf.md
78,Coolheaded,COOLHEADED,defect,Skill,Common,Channel; Draw; Frost,cards/0078-coolheaded-coolheaded.okf.md
79,Core Surge,CORE_SURGE,defect,Attack,Rare,Exhaust,cards/0079-core-surge-core_surge.okf.md
80,Corpse Explosion,CORPSE_EXPLOSION,silent,Skill,Rare,Poison,cards/0080-corpse-explosion-corpse_explosion.okf.md
81,Corruption,CORRUPTION,ironclad,Power,Rare,Exhaust,cards/0081-corruption-corruption.okf.md
82,Creative AI,CREATIVE_AI,defect,Power,Rare,,cards/0082-creative-ai-creative_ai.okf.md
83,Crescendo,CRESCENDO,watcher,Skill,Common,Exhaust; Retain; Wrath,cards/0083-crescendo-crescendo.okf.md
84,Crippling Cloud,CRIPPLING_POISON,silent,Skill,Uncommon,Exhaust; Poison; Weak,cards/0084-crippling-cloud-crippling_poison.okf.md
85,Crush Joints,CRUSHJOINTS,watcher,Attack,Common,Vulnerable,cards/0085-crush-joints-crushjoints.okf.md
86,Curse of the Bell,CURSEOFTHEBELL,curse,Curse,Special,Unplayable,cards/0086-curse-of-the-bell-curseofthebell.okf.md
87,Cut Through Fate,CUTTHROUGHFATE,watcher,Attack,Common,Draw; Scry,cards/0087-cut-through-fate-cutthroughfate.okf.md
88,Dagger Spray,DAGGER_SPRAY,silent,Attack,Common,,cards/0088-dagger-spray-dagger_spray.okf.md
89,Dagger Throw,DAGGER_THROW,silent,Attack,Common,Discard; Draw,cards/0089-dagger-throw-dagger_throw.okf.md
90,Dark Embrace,DARK_EMBRACE,ironclad,Power,Uncommon,draw,cards/0090-dark-embrace-dark_embrace.okf.md
91,Dark Shackles,DARK_SHACKLES,colorless,Skill,Uncommon,Exhaust; Strength,cards/0091-dark-shackles-dark_shackles.okf.md
92,Darkness,DARKNESS,defect,Skill,Uncommon,Channel; Dark,cards/0092-darkness-darkness.okf.md
93,Dash,DASH,silent,Attack,Uncommon,Block,cards/0093-dash-dash.okf.md
94,Dazed,DAZED,colorless,Status,Common,Ethereal; Unplayable,cards/0094-dazed-dazed.okf.md
95,Deadly Poison,DEADLY_POISON,silent,Skill,Common,Poison,cards/0095-deadly-poison-deadly_poison.okf.md
96,Decay,DECAY,curse,Curse,Curse,Unplayable,cards/0096-decay-decay.okf.md
97,Deceive Reality,DECEIVEREALITY,watcher,Skill,Uncommon,Block,cards/0097-deceive-reality-deceivereality.okf.md
98,Deep Breath,DEEP_BREATH,colorless,Skill,Uncommon,discard; draw; Draw,cards/0098-deep-breath-deep_breath.okf.md
99,Defend,DEFEND_B,defect,Skill,Basic,Block,cards/0099-defend-defend_b.okf.md
100,Defend,DEFEND_G,silent,Skill,Basic,Block,cards/0100-defend-defend_g.okf.md
101,Defend,DEFEND_P,watcher,Skill,Basic,Block,cards/0101-defend-defend_p.okf.md
102,Defend,DEFEND_R,ironclad,Skill,Basic,Block,cards/0102-defend-defend_r.okf.md
103,Deflect,DEFLECT,silent,Skill,Common,Block,cards/0103-deflect-deflect.okf.md
104,Defragment,DEFRAGMENT,defect,Power,Uncommon,Focus,cards/0104-defragment-defragment.okf.md
105,Demon Form,DEMON_FORM,ironclad,Power,Rare,Strength,cards/0105-demon-form-demon_form.okf.md
106,Deus Ex Machina,DEUSEXMACHINA,watcher,Skill,Rare,draw; Exhaust; Unplayable,cards/0106-deus-ex-machina-deusexmachina.okf.md
107,Deva Form,DEVAFORM,watcher,Power,Rare,Ethereal,cards/0107-deva-form-devaform.okf.md
108,Devotion,DEVOTION,watcher,Power,Rare,,cards/0108-devotion-devotion.okf.md
109,Die Die Die,DIE_DIE_DIE,silent,Attack,Rare,Exhaust,cards/0109-die-die-die-die_die_die.okf.md
110,Disarm,DISARM,ironclad,Skill,Uncommon,Exhaust; Strength,cards/0110-disarm-disarm.okf.md
111,Discovery,DISCOVERY,colorless,Skill,Uncommon,Exhaust,cards/0111-discovery-discovery.okf.md
112,Distraction,DISTRACTION,silent,Skill,Uncommon,Exhaust,cards/0112-distraction-distraction.okf.md
113,Dodge and Roll,DODGE_AND_ROLL,silent,Skill,Common,Block,cards/0113-dodge-and-roll-dodge_and_roll.okf.md
114,Doom and Gloom,DOOM_AND_GLOOM,defect,Attack,Uncommon,Channel; Dark,cards/0114-doom-and-gloom-doom_and_gloom.okf.md
115,Doppelganger,DOPPELGANGER,silent,Skill,Rare,draw; Exhaust,cards/0115-doppelganger-doppelganger.okf.md
116,Double Energy,DOUBLE_ENERGY,defect,Skill,Uncommon,Exhaust,cards/0116-double-energy-double_energy.okf.md
117,Double Tap,DOUBLE_TAP,ironclad,Skill,Rare,,cards/0117-double-tap-double_tap.okf.md
118,Doubt,DOUBT,curse,Curse,Curse,Unplayable; Weak,cards/0118-doubt-doubt.okf.md
119,Dramatic Entrance,DRAMATIC_ENTRANCE,colorless,Attack,Uncommon,Exhaust; Innate,cards/0119-dramatic-entrance-dramatic_entrance.okf.md
120,Dropkick,DROPKICK,ironclad,Attack,Uncommon,draw; Vulnerable,cards/0120-dropkick-dropkick.okf.md
121,Dual Wield,DUAL_WIELD,ironclad,Skill,Uncommon,,cards/0121-dual-wield-dual_wield.okf.md
122,Dualcast,DUALCAST,defect,Skill,Basic,Evoke; Orb,cards/0122-dualcast-dualcast.okf.md
123,Echo Form,ECHO_FORM,defect,Power,Rare,Ethereal,cards/0123-echo-form-echo_form.okf.md
124,Electrodynamics,ELECTRODYNAMICS,defect,Power,Rare,Channel; Lightning,cards/0124-electrodynamics-electrodynamics.okf.md
125,Empty Body,EMPTYBODY,watcher,Skill,Common,Block; Stance,cards/0125-empty-body-emptybody.okf.md
126,Empty Fist,EMPTYFIST,watcher,Attack,Common,Stance,cards/0126-empty-fist-emptyfist.okf.md
127,Empty Mind,EMPTYMIND,watcher,Skill,Uncommon,Draw; Stance,cards/0127-empty-mind-emptymind.okf.md
128,Endless Agony,ENDLESS_AGONY,silent,Attack,Uncommon,draw; Exhaust,cards/0128-endless-agony-endless_agony.okf.md
129,Enlightenment,ENLIGHTENMENT,colorless,Skill,Uncommon,,cards/0129-enlightenment-enlightenment.okf.md
130,Entrench,ENTRENCH,ironclad,Skill,Uncommon,Block,cards/0130-entrench-entrench.okf.md
131,Envenom,ENVENOM,silent,Power,Rare,Poison,cards/0131-envenom-envenom.okf.md
132,Equilibrium,UNDO,defect,Skill,Uncommon,Block; Retain,cards/0132-equilibrium-undo.okf.md
133,Eruption,ERUPTION,watcher,Attack,Basic,Wrath,cards/0133-eruption-eruption.okf.md
134,Escape Plan,ESCAPE_PLAN,silent,Skill,Uncommon,Block; Draw; draw,cards/0134-escape-plan-escape_plan.okf.md
135,Establishment,ESTABLISHMENT,watcher,Power,Rare,Innate,cards/0135-establishment-establishment.okf.md
136,Evaluate,EVALUATE,watcher,Skill,Common,Block; draw,cards/0136-evaluate-evaluate.okf.md
137,Eviscerate,EVISCERATE,silent,Attack,Uncommon,,cards/0137-eviscerate-eviscerate.okf.md
138,Evolve,EVOLVE,ironclad,Power,Uncommon,draw,cards/0138-evolve-evolve.okf.md
139,Exhume,EXHUME,ironclad,Skill,Rare,exhaust; Exhaust,cards/0139-exhume-exhume.okf.md
140,Expertise,EXPERTISE,silent,Skill,Uncommon,Draw,cards/0140-expertise-expertise.okf.md
141,Fasting,FASTING2,watcher,Power,Uncommon,Dexterity; Strength,cards/0141-fasting-fasting2.okf.md
142,Fear No Evil,FEARNOEVIL,watcher,Attack,Uncommon,Calm,cards/0142-fear-no-evil-fearnoevil.okf.md
143,Feed,FEED,ironclad,Attack,Rare,Exhaust,cards/0143-feed-feed.okf.md
144,Feel No Pain,FEEL_NO_PAIN,ironclad,Power,Uncommon,Block,cards/0144-feel-no-pain-feel_no_pain.okf.md
145,Fiend Fire,FIEND_FIRE,ironclad,Attack,Rare,Exhaust,cards/0145-fiend-fire-fiend_fire.okf.md
146,Finesse,FINESSE,colorless,Skill,Uncommon,Block; Draw,cards/0146-finesse-finesse.okf.md
147,Finisher,FINISHER,silent,Attack,Uncommon,,cards/0147-finisher-finisher.okf.md
148,Fire Breathing,FIRE_BREATHING,ironclad,Power,Uncommon,draw,cards/0148-fire-breathing-fire_breathing.okf.md
149,Fission,FISSION,defect,Skill,Rare,draw; Evoke; Exhaust; Orb,cards/0149-fission-fission.okf.md
150,Flame Barrier,FLAME_BARRIER,ironclad,Skill,Uncommon,Block,cards/0150-flame-barrier-flame_barrier.okf.md
151,Flash of Steel,FLASH_OF_STEEL,colorless,Attack,Uncommon,Draw,cards/0151-flash-of-steel-flash_of_steel.okf.md
152,Flechettes,FLECHETTES,silent,Attack,Uncommon,,cards/0152-flechettes-flechettes.okf.md
153,Flex,FLEX,ironclad,Skill,Common,Strength,cards/0153-flex-flex.okf.md
154,Flurry of Blows,FLURRYOFBLOWS,watcher,Attack,Common,discard,cards/0154-flurry-of-blows-flurryofblows.okf.md
155,Flying Knee,FLYING_KNEE,silent,Attack,Common,,cards/0155-flying-knee-flying_knee.okf.md
156,Flying Sleeves,FLYINGSLEEVES,watcher,Attack,Common,Retain,cards/0156-flying-sleeves-flyingsleeves.okf.md
157,Follow-Up,FOLLOWUP,watcher,Attack,Common,,cards/0157-follow-up-followup.okf.md
158,Footwork,FOOTWORK,silent,Power,Uncommon,Dexterity,cards/0158-footwork-footwork.okf.md
159,Force Field,FORCE_FIELD,defect,Skill,Uncommon,Block,cards/0159-force-field-force_field.okf.md
160,Foreign Influence,FOREIGNINFLUENCE,watcher,Skill,Uncommon,Exhaust,cards/0160-foreign-influence-foreigninfluence.okf.md
161,Foresight,WIREHEADING,watcher,Power,Uncommon,Scry,cards/0161-foresight-wireheading.okf.md
162,Forethought,FORETHOUGHT,colorless,Skill,Uncommon,draw,cards/0162-forethought-forethought.okf.md
163,FTL,FTL,defect,Attack,Uncommon,draw,cards/0163-ftl-ftl.okf.md
164,Fusion,FUSION,defect,Skill,Uncommon,Channel,cards/0164-fusion-fusion.okf.md
165,Genetic Algorithm,GENETIC_ALGORITHM,defect,Skill,Uncommon,Block; Exhaust,cards/0165-genetic-algorithm-genetic_algorithm.okf.md
166,Ghostly Armor,GHOSTLY_ARMOR,ironclad,Skill,Uncommon,Block; Ethereal,cards/0166-ghostly-armor-ghostly_armor.okf.md
167,Glacier,GLACIER,defect,Skill,Uncommon,Block; Channel; Frost,cards/0167-glacier-glacier.okf.md
168,Glass Knife,GLASS_KNIFE,silent,Attack,Rare,,cards/0168-glass-knife-glass_knife.okf.md
169,Go for the Eyes,GO_FOR_THE_EYES,defect,Attack,Common,Weak,cards/0169-go-for-the-eyes-go_for_the_eyes.okf.md
170,Good Instincts,GOOD_INSTINCTS,colorless,Skill,Uncommon,Block,cards/0170-good-instincts-good_instincts.okf.md
171,Grand Finale,GRAND_FINALE,silent,Attack,Rare,draw,cards/0171-grand-finale-grand_finale.okf.md
172,Halt,HALT,watcher,Skill,Common,Block; Wrath,cards/0172-halt-halt.okf.md
173,Hand of Greed,HANDOFGREED,colorless,Attack,Rare,,cards/0173-hand-of-greed-handofgreed.okf.md
174,Havoc,HAVOC,ironclad,Skill,Common,draw; Exhaust,cards/0174-havoc-havoc.okf.md
175,Headbutt,HEADBUTT,ironclad,Attack,Common,discard; draw,cards/0175-headbutt-headbutt.okf.md
176,Heatsinks,HEATSINKS,defect,Power,Uncommon,draw,cards/0176-heatsinks-heatsinks.okf.md
177,Heavy Blade,HEAVY_BLADE,ironclad,Attack,Common,Strength,cards/0177-heavy-blade-heavy_blade.okf.md
178,Heel Hook,HEEL_HOOK,silent,Attack,Uncommon,draw; Weak,cards/0178-heel-hook-heel_hook.okf.md
179,Hello World,HELLO_WORLD,defect,Power,Uncommon,Innate,cards/0179-hello-world-hello_world.okf.md
180,Hemokinesis,HEMOKINESIS,ironclad,Attack,Uncommon,,cards/0180-hemokinesis-hemokinesis.okf.md
181,Hologram,HOLOGRAM,defect,Skill,Common,Block; discard; Exhaust,cards/0181-hologram-hologram.okf.md
182,Hyperbeam,HYPERBEAM,defect,Attack,Rare,Focus,cards/0182-hyperbeam-hyperbeam.okf.md
183,Immolate,IMMOLATE,ironclad,Attack,Rare,Burn; discard,cards/0183-immolate-immolate.okf.md
184,Impatience,IMPATIENCE,colorless,Skill,Uncommon,draw,cards/0184-impatience-impatience.okf.md
185,Impervious,IMPERVIOUS,ironclad,Skill,Rare,Block; Exhaust,cards/0185-impervious-impervious.okf.md
186,Impulse,IMPULSE,defect,Skill,Uncommon,,cards/0186-impulse-impulse.okf.md
187,Indignation,INDIGNATION,watcher,Skill,Uncommon,Vulnerable; Wrath,cards/0187-indignation-indignation.okf.md
188,Infernal Blade,INFERNAL_BLADE,ironclad,Skill,Uncommon,Exhaust,cards/0188-infernal-blade-infernal_blade.okf.md
189,Infinite Blades,INFINITE_BLADES,silent,Power,Uncommon,Innate; Shiv,cards/0189-infinite-blades-infinite_blades.okf.md
190,Inflame,INFLAME,ironclad,Power,Uncommon,Strength,cards/0190-inflame-inflame.okf.md
191,Injury,INJURY,curse,Curse,Curse,Unplayable,cards/0191-injury-injury.okf.md
192,Inner Peace,INNERPEACE,watcher,Skill,Uncommon,Calm; draw,cards/0192-inner-peace-innerpeace.okf.md
193,Intimidate,INTIMIDATE,ironclad,Skill,Uncommon,Exhaust; Weak,cards/0193-intimidate-intimidate.okf.md
194,Iron Wave,IRON_WAVE,ironclad,Attack,Common,Block,cards/0194-iron-wave-iron_wave.okf.md
195,J.A.X.,J_A_X,colorless,Skill,Special,Strength,cards/0195-j-a-x-j_a_x.okf.md
196,Jack of All Trades,JACK_OF_ALL_TRADES,colorless,Skill,Uncommon,Exhaust,cards/0196-jack-of-all-trades-jack_of_all_trades.okf.md
197,Judgment,JUDGEMENT,watcher,Skill,Rare,,cards/0197-judgment-judgement.okf.md
198,Juggernaut,JUGGERNAUT,ironclad,Power,Rare,Block,cards/0198-juggernaut-juggernaut.okf.md
199,Just Lucky,JUSTLUCKY,watcher,Attack,Common,Block; Scry,cards/0199-just-lucky-justlucky.okf.md
200,Leap,LEAP,defect,Skill,Common,Block,cards/0200-leap-leap.okf.md
201,Leg Sweep,LEG_SWEEP,silent,Skill,Uncommon,Block; Weak,cards/0201-leg-sweep-leg_sweep.okf.md
202,Lesson Learned,LESSONLEARNED,watcher,Attack,Rare,Exhaust; Upgrade,cards/0202-lesson-learned-lessonlearned.okf.md
203,Like Water,LIKEWATER,watcher,Power,Uncommon,Block; Calm,cards/0203-like-water-likewater.okf.md
204,Limit Break,LIMIT_BREAK,ironclad,Skill,Rare,Exhaust; Strength,cards/0204-limit-break-limit_break.okf.md
205,Loop,LOOP,defect,Power,Uncommon,Orb,cards/0205-loop-loop.okf.md
206,Machine Learning,MACHINE_LEARNING,defect,Power,Rare,draw; Innate,cards/0206-machine-learning-machine_learning.okf.md
207,Madness,MADNESS,colorless,Skill,Uncommon,Exhaust,cards/0207-madness-madness.okf.md
208,Magnetism,MAGNETISM,colorless,Power,Rare,,cards/0208-magnetism-magnetism.okf.md
209,Malaise,MALAISE,silent,Skill,Rare,Exhaust; Strength; Weak,cards/0209-malaise-malaise.okf.md
210,Master of Strategy,MASTER_OF_STRATEGY,colorless,Skill,Rare,Draw; Exhaust,cards/0210-master-of-strategy-master_of_strategy.okf.md
211,Master Reality,MASTERREALITY,watcher,Power,Rare,Upgrade,cards/0211-master-reality-masterreality.okf.md
212,Masterful Stab,MASTERFUL_STAB,silent,Attack,Uncommon,,cards/0212-masterful-stab-masterful_stab.okf.md
213,Mayhem,MAYHEM,colorless,Power,Rare,draw,cards/0213-mayhem-mayhem.okf.md
214,Meditate,MEDITATE,watcher,Skill,Uncommon,Calm; discard; Retain,cards/0214-meditate-meditate.okf.md
215,Melter,MELTER,defect,Attack,Uncommon,Block,cards/0215-melter-melter.okf.md
216,Mental Fortress,MENTALFORTRESS,watcher,Power,Uncommon,Block,cards/0216-mental-fortress-mentalfortress.okf.md
217,Metallicize,METALLICIZE,ironclad,Power,Uncommon,Block,cards/0217-metallicize-metallicize.okf.md
218,Metamorphosis,METAMORPHOSIS,colorless,Skill,Rare,draw; Exhaust,cards/0218-metamorphosis-metamorphosis.okf.md
219,Meteor Strike,METEOR_STRIKE,defect,Attack,Rare,Channel,cards/0219-meteor-strike-meteor_strike.okf.md
220,Mind Blast,MIND_BLAST,colorless,Attack,Uncommon,draw; Innate,cards/0220-mind-blast-mind_blast.okf.md
221,Multi-Cast,MULTI_CAST,defect,Skill,Rare,Evoke; Orb,cards/0221-multi-cast-multi_cast.okf.md
222,Necronomicurse,NECRONOMICURSE,curse,Curse,Special,Unplayable,cards/0222-necronomicurse-necronomicurse.okf.md
223,Neutralize,NEUTRALIZE,silent,Attack,Basic,Weak,cards/0223-neutralize-neutralize.okf.md
224,Nightmare,NIGHT_TERROR,silent,Skill,Rare,Exhaust,cards/0224-nightmare-night_terror.okf.md
225,Nirvana,NIRVANA,watcher,Power,Uncommon,Block; Scry,cards/0225-nirvana-nirvana.okf.md
226,Normality,NORMALITY,curse,Curse,Curse,Unplayable,cards/0226-normality-normality.okf.md
227,Noxious Fumes,NOXIOUS_FUMES,silent,Power,Uncommon,Poison,cards/0227-noxious-fumes-noxious_fumes.okf.md
228,Offering,OFFERING,ironclad,Skill,Rare,Draw; Exhaust,cards/0228-offering-offering.okf.md
229,Omniscience,OMNISCIENCE,watcher,Skill,Rare,draw; exhaust; Exhaust,cards/0229-omniscience-omniscience.okf.md
230,Outmaneuver,OUTMANEUVER,silent,Skill,Common,,cards/0230-outmaneuver-outmaneuver.okf.md
231,Overclock,STEAM_POWER,defect,Skill,Uncommon,Burn; discard; Draw,cards/0231-overclock-steam_power.okf.md
232,Pain,PAIN,curse,Curse,Curse,Unplayable,cards/0232-pain-pain.okf.md
233,Panacea,PANACEA,colorless,Skill,Uncommon,Exhaust,cards/0233-panacea-panacea.okf.md
234,Panache,PANACHE,colorless,Power,Rare,,cards/0234-panache-panache.okf.md
235,Panic Button,PANICBUTTON,colorless,Skill,Uncommon,Block; Exhaust,cards/0235-panic-button-panicbutton.okf.md
236,Parasite,PARASITE,curse,Curse,Curse,Unplayable,cards/0236-parasite-parasite.okf.md
237,Perfected Strike,PERFECTED_STRIKE,ironclad,Attack,Common,,cards/0237-perfected-strike-perfected_strike.okf.md
238,Perseverance,PERSEVERANCE,watcher,Skill,Uncommon,Block; Retain,cards/0238-perseverance-perseverance.okf.md
239,Phantasmal Killer,PHANTASMAL_KILLER,silent,Skill,Rare,,cards/0239-phantasmal-killer-phantasmal_killer.okf.md
240,Piercing Wail,PIERCINGWAIL,silent,Skill,Common,Exhaust; Strength,cards/0240-piercing-wail-piercingwail.okf.md
241,Poisoned Stab,POISONED_STAB,silent,Attack,Common,Poison,cards/0241-poisoned-stab-poisoned_stab.okf.md
242,Pommel Strike,POMMEL_STRIKE,ironclad,Attack,Common,Draw,cards/0242-pommel-strike-pommel_strike.okf.md
243,Power Through,POWER_THROUGH,ironclad,Skill,Uncommon,Block,cards/0243-power-through-power_through.okf.md
244,Pray,PRAY,watcher,Skill,Uncommon,draw,cards/0244-pray-pray.okf.md
245,Predator,PREDATOR,silent,Attack,Uncommon,draw,cards/0245-predator-predator.okf.md
