ordinal,source_id,name,slug,character,color,rarity,type,cost,upgrade_cost,observed_terms,okf_path
39,BLUR,Blur,blur,silent,silent,Uncommon,Skill,1,,Block,cards/0039-blur-blur.okf.md
40,BODY_SLAM,Body Slam,body-slam,ironclad,ironclad,Common,Attack,1,0,Block,cards/0040-body-slam-body_slam.okf.md
41,BOOTSEQUENCE,Boot Sequence,boot-sequence,defect,defect,Uncommon,Skill,0,,Block; Exhaust; Innate,cards/0041-boot-sequence-bootsequence.okf.md
42,BOUNCING_FLASK,Bouncing Flask,bouncing-flask,silent,silent,Uncommon,Skill,2,,Poison,cards/0042-bouncing-flask-bouncing_flask.okf.md
43,BOWLINGBASH,Bowling Bash,bowling-bash,watcher,watcher,Common,Attack,1,,,cards/0043-bowling-bash-bowlingbash.okf.md
44,BRILLIANCE,Brilliance,brilliance,watcher,watcher,Rare,Attack,1,,,cards/0044-brilliance-brilliance.okf.md
45,BRUTALITY,Brutality,brutality,ironclad,ironclad,Rare,Power,0,,draw; Innate,cards/0045-brutality-brutality.okf.md
46,BUFFER,Buffer,buffer,defect,defect,Rare,Power,2,,,cards/0046-buffer-buffer.okf.md
47,BULLET_TIME,Bullet Time,bullet-time,silent,silent,Rare,Skill,3,2,draw,cards/0047-bullet-time-bullet_time.okf.md
48,LOCKON,Bullseye,bullseye,defect,defect,Uncommon,Attack,1,,,cards/0048-bullseye-lockon.okf.md
49,BURN,Burn,burn,colorless,colorless,Common,Status,-2,,Unplayable,cards/0049-burn-burn.okf.md
50,BURNING_PACT,Burning Pact,burning-pact,ironclad,ironclad,Uncommon,Skill,1,,Draw; Exhaust,cards/0050-burning-pact-burning_pact.okf.md
51,BURST,Burst,burst,silent,silent,Rare,Skill,1,,,cards/0051-burst-burst.okf.md
52,CALCULATED_GAMBLE,Calculated Gamble,calculated-gamble,silent,silent,Uncommon,Skill,0,,Discard; draw; Exhaust,cards/0052-calculated-gamble-calculated_gamble.okf.md
53,CALTROPS,Caltrops,caltrops,silent,silent,Uncommon,Power,1,,,cards/0053-caltrops-caltrops.okf.md
54,CAPACITOR,Capacitor,capacitor,defect,defect,Uncommon,Power,1,,Orb,cards/0054-capacitor-capacitor.okf.md
55,CARNAGE,Carnage,carnage,ironclad,ironclad,Uncommon,Attack,2,,Ethereal,cards/0055-carnage-carnage.okf.md
56,CARVEREALITY,Carve Reality,carve-reality,watcher,watcher,Uncommon,Attack,1,,,cards/0056-carve-reality-carvereality.okf.md
57,CATALYST,Catalyst,catalyst,silent,silent,Uncommon,Skill,1,,Exhaust; Poison,cards/0057-catalyst-catalyst.okf.md
58,CHAOS,Chaos,chaos,defect,defect,Uncommon,Skill,1,,Channel; Orb,cards/0058-chaos-chaos.okf.md
59,CONSERVE_BATTERY,Charge Battery,charge-battery,defect,defect,Common,Skill,1,,Block,cards/0059-charge-battery-conserve_battery.okf.md
60,CHILL,Chill,chill,defect,defect,Uncommon,Skill,0,,Channel; Exhaust; Frost; Innate,cards/0060-chill-chill.okf.md
61,CHOKE,Choke,choke,silent,silent,Uncommon,Attack,2,,,cards/0061-choke-choke.okf.md
62,CHRYSALIS,Chrysalis,chrysalis,colorless,colorless,Rare,Skill,2,,draw; Exhaust,cards/0062-chrysalis-chrysalis.okf.md
63,CLASH,Clash,clash,ironclad,ironclad,Common,Attack,0,,,cards/0063-clash-clash.okf.md
64,GASH,Claw,claw,defect,defect,Common,Attack,0,,,cards/0064-claw-gash.okf.md
65,CLEAVE,Cleave,cleave,ironclad,ironclad,Common,Attack,1,,,cards/0065-cleave-cleave.okf.md
66,CLOAK_AND_DAGGER,Cloak and Dagger,cloak-and-dagger,silent,silent,Common,Skill,1,,Block; Shiv; Shivs,cards/0066-cloak-and-dagger-cloak_and_dagger.okf.md
67,CLOTHESLINE,Clothesline,clothesline,ironclad,ironclad,Common,Attack,2,,Weak,cards/0067-clothesline-clothesline.okf.md
68,CLUMSY,Clumsy,clumsy,curse,curse,Curse,Curse,-2,,Ethereal; Unplayable,cards/0068-clumsy-clumsy.okf.md
69,COLD_SNAP,Cold Snap,cold-snap,defect,defect,Common,Attack,1,,Channel; Frost,cards/0069-cold-snap-cold_snap.okf.md
70,COLLECT,Collect,collect,watcher,watcher,Uncommon,Skill,-1,,Exhaust,cards/0070-collect-collect.okf.md
71,COMBUST,Combust,combust,ironclad,ironclad,Uncommon,Power,1,,,cards/0071-combust-combust.okf.md
72,COMPILE_DRIVER,Compile Driver,compile-driver,defect,defect,Common,Attack,1,,Draw; Orb,cards/0072-compile-driver-compile_driver.okf.md
73,CONCENTRATE,Concentrate,concentrate,silent,silent,Uncommon,Skill,0,,Discard,cards/0073-concentrate-concentrate.okf.md
74,CONCLUDE,Conclude,conclude,watcher,watcher,Uncommon,Attack,1,,,cards/0074-conclude-conclude.okf.md
75,CONJUREBLADE,Conjure Blade,conjure-blade,watcher,watcher,Rare,Skill,-1,,draw; Exhaust,cards/0075-conjure-blade-conjureblade.okf.md
76,CONSECRATE,Consecrate,consecrate,watcher,watcher,Common,Attack,0,,,cards/0076-consecrate-consecrate.okf.md
77,CONSUME,Consume,consume,defect,defect,Uncommon,Skill,2,,Focus; Orb,cards/0077-consume-consume.okf.md
78,COOLHEADED,Coolheaded,coolheaded,defect,defect,Common,Skill,1,,Channel; Draw; Frost,cards/0078-coolheaded-coolheaded.okf.md
79,CORE_SURGE,Core Surge,core-surge,defect,defect,Rare,Attack,1,,Exhaust,cards/0079-core-surge-core_surge.okf.md
80,CORPSE_EXPLOSION,Corpse Explosion,corpse-explosion,silent,silent,Rare,Skill,2,,Poison,cards/0080-corpse-explosion-corpse_explosion.okf.md
81,CORRUPTION,Corruption,corruption,ironclad,ironclad,Rare,Power,3,2,Exhaust,cards/0081-corruption-corruption.okf.md
82,CREATIVE_AI,Creative AI,creative-ai,defect,defect,Rare,Power,3,2,,cards/0082-creative-ai-creative_ai.okf.md
83,CRESCENDO,Crescendo,crescendo,watcher,watcher,Common,Skill,1,0,Exhaust; Retain; Wrath,cards/0083-crescendo-crescendo.okf.md
84,CRIPPLING_POISON,Crippling Cloud,crippling-cloud,silent,silent,Uncommon,Skill,2,,Exhaust; Poison; Weak,cards/0084-crippling-cloud-crippling_poison.okf.md
85,CRUSHJOINTS,Crush Joints,crush-joints,watcher,watcher,Common,Attack,1,,Vulnerable,cards/0085-crush-joints-crushjoints.okf.md
86,CURSEOFTHEBELL,Curse of the Bell,curse-of-the-bell,curse,curse,Special,Curse,-2,,Unplayable,cards/0086-curse-of-the-bell-curseofthebell.okf.md
87,CUTTHROUGHFATE,Cut Through Fate,cut-through-fate,watcher,watcher,Common,Attack,1,,Draw; Scry,cards/0087-cut-through-fate-cutthroughfate.okf.md
88,DAGGER_SPRAY,Dagger Spray,dagger-spray,silent,silent,Common,Attack,1,,,cards/0088-dagger-spray-dagger_spray.okf.md
89,DAGGER_THROW,Dagger Throw,dagger-throw,silent,silent,Common,Attack,1,,Discard; Draw,cards/0089-dagger-throw-dagger_throw.okf.md
90,DARK_EMBRACE,Dark Embrace,dark-embrace,ironclad,ironclad,Uncommon,Power,2,1,draw,cards/0090-dark-embrace-dark_embrace.okf.md
91,DARK_SHACKLES,Dark Shackles,dark-shackles,colorless,colorless,Uncommon,Skill,0,,Exhaust; Strength,cards/0091-dark-shackles-dark_shackles.okf.md
92,DARKNESS,Darkness,darkness,defect,defect,Uncommon,Skill,1,,Channel; Dark,cards/0092-darkness-darkness.okf.md
93,DASH,Dash,dash,silent,silent,Uncommon,Attack,2,,Block,cards/0093-dash-dash.okf.md
94,DAZED,Dazed,dazed,colorless,colorless,Common,Status,-2,,Ethereal; Unplayable,cards/0094-dazed-dazed.okf.md
95,DEADLY_POISON,Deadly Poison,deadly-poison,silent,silent,Common,Skill,1,,Poison,cards/0095-deadly-poison-deadly_poison.okf.md
96,DECAY,Decay,decay,curse,curse,Curse,Curse,-2,,Unplayable,cards/0096-decay-decay.okf.md
97,DECEIVEREALITY,Deceive Reality,deceive-reality,watcher,watcher,Uncommon,Skill,1,,Block,cards/0097-deceive-reality-deceivereality.okf.md
98,DEEP_BREATH,Deep Breath,deep-breath,colorless,colorless,Uncommon,Skill,0,,discard; draw; Draw,cards/0098-deep-breath-deep_breath.okf.md
99,DEFEND_B,Defend,defend,defect,defect,Basic,Skill,1,,Block,cards/0099-defend-defend_b.okf.md
100,DEFEND_G,Defend,defend,silent,silent,Basic,Skill,1,,Block,cards/0100-defend-defend_g.okf.md
101,DEFEND_P,Defend,defend,watcher,watcher,Basic,Skill,1,,Block,cards/0101-defend-defend_p.okf.md
102,DEFEND_R,Defend,defend,ironclad,ironclad,Basic,Skill,1,,Block,cards/0102-defend-defend_r.okf.md
103,DEFLECT,Deflect,deflect,silent,silent,Common,Skill,0,,Block,cards/0103-deflect-deflect.okf.md
104,DEFRAGMENT,Defragment,defragment,defect,defect,Uncommon,Power,1,,Focus,cards/0104-defragment-defragment.okf.md
105,DEMON_FORM,Demon Form,demon-form,ironclad,ironclad,Rare,Power,3,,Strength,cards/0105-demon-form-demon_form.okf.md
106,DEUSEXMACHINA,Deus Ex Machina,deus-ex-machina,watcher,watcher,Rare,Skill,-2,,draw; Exhaust; Unplayable,cards/0106-deus-ex-machina-deusexmachina.okf.md
107,DEVAFORM,Deva Form,deva-form,watcher,watcher,Rare,Power,3,,Ethereal,cards/0107-deva-form-devaform.okf.md
108,DEVOTION,Devotion,devotion,watcher,watcher,Rare,Power,1,,,cards/0108-devotion-devotion.okf.md
109,DIE_DIE_DIE,Die Die Die,die-die-die,silent,silent,Rare,Attack,1,,Exhaust,cards/0109-die-die-die-die_die_die.okf.md
110,DISARM,Disarm,disarm,ironclad,ironclad,Uncommon,Skill,1,,Exhaust; Strength,cards/0110-disarm-disarm.okf.md
111,DISCOVERY,Discovery,discovery,colorless,colorless,Uncommon,Skill,1,,Exhaust,cards/0111-discovery-discovery.okf.md
112,DISTRACTION,Distraction,distraction,silent,silent,Uncommon,Skill,1,0,Exhaust,cards/0112-distraction-distraction.okf.md
113,DODGE_AND_ROLL,Dodge and Roll,dodge-and-roll,silent,silent,Common,Skill,1,,Block,cards/0113-dodge-and-roll-dodge_and_roll.okf.md
114,DOOM_AND_GLOOM,Doom and Gloom,doom-and-gloom,defect,defect,Uncommon,Attack,2,,Channel; Dark,cards/0114-doom-and-gloom-doom_and_gloom.okf.md
115,DOPPELGANGER,Doppelganger,doppelganger,silent,silent,Rare,Skill,-1,,draw; Exhaust,cards/0115-doppelganger-doppelganger.okf.md
116,DOUBLE_ENERGY,Double Energy,double-energy,defect,defect,Uncommon,Skill,1,0,Exhaust,cards/0116-double-energy-double_energy.okf.md
117,DOUBLE_TAP,Double Tap,double-tap,ironclad,ironclad,Rare,Skill,1,,,cards/0117-double-tap-double_tap.okf.md
118,DOUBT,Doubt,doubt,curse,curse,Curse,Curse,-2,,Unplayable; Weak,cards/0118-doubt-doubt.okf.md
119,DRAMATIC_ENTRANCE,Dramatic Entrance,dramatic-entrance,colorless,colorless,Uncommon,Attack,0,,Exhaust; Innate,cards/0119-dramatic-entrance-dramatic_entrance.okf.md
120,DROPKICK,Dropkick,dropkick,ironclad,ironclad,Uncommon,Attack,1,,draw; Vulnerable,cards/0120-dropkick-dropkick.okf.md
121,DUAL_WIELD,Dual Wield,dual-wield,ironclad,ironclad,Uncommon,Skill,1,,,cards/0121-dual-wield-dual_wield.okf.md
122,DUALCAST,Dualcast,dualcast,defect,defect,Basic,Skill,1,0,Evoke; Orb,cards/0122-dualcast-dualcast.okf.md
123,ECHO_FORM,Echo Form,echo-form,defect,defect,Rare,Power,3,,Ethereal,cards/0123-echo-form-echo_form.okf.md
124,ELECTRODYNAMICS,Electrodynamics,electrodynamics,defect,defect,Rare,Power,2,,Channel; Lightning,cards/0124-electrodynamics-electrodynamics.okf.md
125,EMPTYBODY,Empty Body,empty-body,watcher,watcher,Common,Skill,1,,Block; Stance,cards/0125-empty-body-emptybody.okf.md
126,EMPTYFIST,Empty Fist,empty-fist,watcher,watcher,Common,Attack,1,,Stance,cards/0126-empty-fist-emptyfist.okf.md
127,EMPTYMIND,Empty Mind,empty-mind,watcher,watcher,Uncommon,Skill,1,,Draw; Stance,cards/0127-empty-mind-emptymind.okf.md
128,ENDLESS_AGONY,Endless Agony,endless-agony,silent,silent,Uncommon,Attack,0,,draw; Exhaust,cards/0128-endless-agony-endless_agony.okf.md
129,ENLIGHTENMENT,Enlightenment,enlightenment,colorless,colorless,Uncommon,Skill,0,,,cards/0129-enlightenment-enlightenment.okf.md
130,ENTRENCH,Entrench,entrench,ironclad,ironclad,Uncommon,Skill,2,1,Block,cards/0130-entrench-entrench.okf.md
131,ENVENOM,Envenom,envenom,silent,silent,Rare,Power,2,1,Poison,cards/0131-envenom-envenom.okf.md
132,UNDO,Equilibrium,equilibrium,defect,defect,Uncommon,Skill,2,,Block; Retain,cards/0132-equilibrium-undo.okf.md
133,ERUPTION,Eruption,eruption,watcher,watcher,Basic,Attack,2,1,Wrath,cards/0133-eruption-eruption.okf.md
134,ESCAPE_PLAN,Escape Plan,escape-plan,silent,silent,Uncommon,Skill,0,,Block; Draw; draw,cards/0134-escape-plan-escape_plan.okf.md
135,ESTABLISHMENT,Establishment,establishment,watcher,watcher,Rare,Power,1,,Innate,cards/0135-establishment-establishment.okf.md
136,EVALUATE,Evaluate,evaluate,watcher,watcher,Common,Skill,1,,Block; draw,cards/0136-evaluate-evaluate.okf.md
137,EVISCERATE,Eviscerate,eviscerate,silent,silent,Uncommon,Attack,3,,,cards/0137-eviscerate-eviscerate.okf.md
138,EVOLVE,Evolve,evolve,ironclad,ironclad,Uncommon,Power,1,,draw,cards/0138-evolve-evolve.okf.md
139,EXHUME,Exhume,exhume,ironclad,ironclad,Rare,Skill,1,0,exhaust; Exhaust,cards/0139-exhume-exhume.okf.md
140,EXPERTISE,Expertise,expertise,silent,silent,Uncommon,Skill,1,,Draw,cards/0140-expertise-expertise.okf.md
141,FASTING2,Fasting,fasting,watcher,watcher,Uncommon,Power,2,,Dexterity; Strength,cards/0141-fasting-fasting2.okf.md
142,FEARNOEVIL,Fear No Evil,fear-no-evil,watcher,watcher,Uncommon,Attack,1,,Calm,cards/0142-fear-no-evil-fearnoevil.okf.md
143,FEED,Feed,feed,ironclad,ironclad,Rare,Attack,1,,Exhaust,cards/0143-feed-feed.okf.md
144,FEEL_NO_PAIN,Feel No Pain,feel-no-pain,ironclad,ironclad,Uncommon,Power,1,,Block,cards/0144-feel-no-pain-feel_no_pain.okf.md
145,FIEND_FIRE,Fiend Fire,fiend-fire,ironclad,ironclad,Rare,Attack,2,,Exhaust,cards/0145-fiend-fire-fiend_fire.okf.md
146,FINESSE,Finesse,finesse,colorless,colorless,Uncommon,Skill,0,,Block; Draw,cards/0146-finesse-finesse.okf.md
147,FINISHER,Finisher,finisher,silent,silent,Uncommon,Attack,1,,,cards/0147-finisher-finisher.okf.md
148,FIRE_BREATHING,Fire Breathing,fire-breathing,ironclad,ironclad,Uncommon,Power,1,,draw,cards/0148-fire-breathing-fire_breathing.okf.md
149,FISSION,Fission,fission,defect,defect,Rare,Skill,0,,draw; Evoke; Exhaust; Orb,cards/0149-fission-fission.okf.md
150,FLAME_BARRIER,Flame Barrier,flame-barrier,ironclad,ironclad,Uncommon,Skill,2,,Block,cards/0150-flame-barrier-flame_barrier.okf.md
151,FLASH_OF_STEEL,Flash of Steel,flash-of-steel,colorless,colorless,Uncommon,Attack,0,,Draw,cards/0151-flash-of-steel-flash_of_steel.okf.md
152,FLECHETTES,Flechettes,flechettes,silent,silent,Uncommon,Attack,1,,,cards/0152-flechettes-flechettes.okf.md
153,FLEX,Flex,flex,ironclad,ironclad,Common,Skill,0,,Strength,cards/0153-flex-flex.okf.md
154,FLURRYOFBLOWS,Flurry of Blows,flurry-of-blows,watcher,watcher,Common,Attack,0,,discard,cards/0154-flurry-of-blows-flurryofblows.okf.md
155,FLYING_KNEE,Flying Knee,flying-knee,silent,silent,Common,Attack,1,,,cards/0155-flying-knee-flying_knee.okf.md
156,FLYINGSLEEVES,Flying Sleeves,flying-sleeves,watcher,watcher,Common,Attack,1,,Retain,cards/0156-flying-sleeves-flyingsleeves.okf.md
157,FOLLOWUP,Follow-Up,follow-up,watcher,watcher,Common,Attack,1,,,cards/0157-follow-up-followup.okf.md
158,FOOTWORK,Footwork,footwork,silent,silent,Uncommon,Power,1,,Dexterity,cards/0158-footwork-footwork.okf.md
159,FORCE_FIELD,Force Field,force-field,defect,defect,Uncommon,Skill,4,,Block,cards/0159-force-field-force_field.okf.md
160,FOREIGNINFLUENCE,Foreign Influence,foreign-influence,watcher,watcher,Uncommon,Skill,0,,Exhaust,cards/0160-foreign-influence-foreigninfluence.okf.md
161,WIREHEADING,Foresight,foresight,watcher,watcher,Uncommon,Power,1,,Scry,cards/0161-foresight-wireheading.okf.md
162,FORETHOUGHT,Forethought,forethought,colorless,colorless,Uncommon,Skill,0,,draw,cards/0162-forethought-forethought.okf.md
163,FTL,FTL,ftl,defect,defect,Uncommon,Attack,0,,draw,cards/0163-ftl-ftl.okf.md
164,FUSION,Fusion,fusion,defect,defect,Uncommon,Skill,2,1,Channel,cards/0164-fusion-fusion.okf.md
165,GENETIC_ALGORITHM,Genetic Algorithm,genetic-algorithm,defect,defect,Uncommon,Skill,1,,Block; Exhaust,cards/0165-genetic-algorithm-genetic_algorithm.okf.md
166,GHOSTLY_ARMOR,Ghostly Armor,ghostly-armor,ironclad,ironclad,Uncommon,Skill,1,,Block; Ethereal,cards/0166-ghostly-armor-ghostly_armor.okf.md
167,GLACIER,Glacier,glacier,defect,defect,Uncommon,Skill,2,,Block; Channel; Frost,cards/0167-glacier-glacier.okf.md
168,GLASS_KNIFE,Glass Knife,glass-knife,silent,silent,Rare,Attack,1,,,cards/0168-glass-knife-glass_knife.okf.md
169,GO_FOR_THE_EYES,Go for the Eyes,go-for-the-eyes,defect,defect,Common,Attack,0,,Weak,cards/0169-go-for-the-eyes-go_for_the_eyes.okf.md
170,GOOD_INSTINCTS,Good Instincts,good-instincts,colorless,colorless,Uncommon,Skill,0,,Block,cards/0170-good-instincts-good_instincts.okf.md
171,GRAND_FINALE,Grand Finale,grand-finale,silent,silent,Rare,Attack,0,,draw,cards/0171-grand-finale-grand_finale.okf.md
172,HALT,Halt,halt,watcher,watcher,Common,Skill,0,,Block; Wrath,cards/0172-halt-halt.okf.md
173,HANDOFGREED,Hand of Greed,hand-of-greed,colorless,colorless,Rare,Attack,2,,,cards/0173-hand-of-greed-handofgreed.okf.md
174,HAVOC,Havoc,havoc,ironclad,ironclad,Common,Skill,1,0,draw; Exhaust,cards/0174-havoc-havoc.okf.md
175,HEADBUTT,Headbutt,headbutt,ironclad,ironclad,Common,Attack,1,,discard; draw,cards/0175-headbutt-headbutt.okf.md
176,HEATSINKS,Heatsinks,heatsinks,defect,defect,Uncommon,Power,1,,draw,cards/0176-heatsinks-heatsinks.okf.md
177,HEAVY_BLADE,Heavy Blade,heavy-blade,ironclad,ironclad,Common,Attack,2,,Strength,cards/0177-heavy-blade-heavy_blade.okf.md
178,HEEL_HOOK,Heel Hook,heel-hook,silent,silent,Uncommon,Attack,1,,draw; Weak,cards/0178-heel-hook-heel_hook.okf.md
179,HELLO_WORLD,Hello World,hello-world,defect,defect,Uncommon,Power,1,,Innate,cards/0179-hello-world-hello_world.okf.md
180,HEMOKINESIS,Hemokinesis,hemokinesis,ironclad,ironclad,Uncommon,Attack,1,,,cards/0180-hemokinesis-hemokinesis.okf.md
181,HOLOGRAM,Hologram,hologram,defect,defect,Common,Skill,1,,Block; discard; Exhaust,cards/0181-hologram-hologram.okf.md
182,HYPERBEAM,Hyperbeam,hyperbeam,defect,defect,Rare,Attack,2,,Focus,cards/0182-hyperbeam-hyperbeam.okf.md
183,IMMOLATE,Immolate,immolate,ironclad,ironclad,Rare,Attack,2,,Burn; discard,cards/0183-immolate-immolate.okf.md
184,IMPATIENCE,Impatience,impatience,colorless,colorless,Uncommon,Skill,0,,draw,cards/0184-impatience-impatience.okf.md
185,IMPERVIOUS,Impervious,impervious,ironclad,ironclad,Rare,Skill,2,,Block; Exhaust,cards/0185-impervious-impervious.okf.md
186,IMPULSE,Impulse,impulse,defect,defect,Uncommon,Skill,1,,,cards/0186-impulse-impulse.okf.md
187,INDIGNATION,Indignation,indignation,watcher,watcher,Uncommon,Skill,1,,Vulnerable; Wrath,cards/0187-indignation-indignation.okf.md
188,INFERNAL_BLADE,Infernal Blade,infernal-blade,ironclad,ironclad,Uncommon,Skill,1,0,Exhaust,cards/0188-infernal-blade-infernal_blade.okf.md
189,INFINITE_BLADES,Infinite Blades,infinite-blades,silent,silent,Uncommon,Power,1,,Innate; Shiv,cards/0189-infinite-blades-infinite_blades.okf.md
190,INFLAME,Inflame,inflame,ironclad,ironclad,Uncommon,Power,1,,Strength,cards/0190-inflame-inflame.okf.md
191,INJURY,Injury,injury,curse,curse,Curse,Curse,-2,,Unplayable,cards/0191-injury-injury.okf.md
192,INNERPEACE,Inner Peace,inner-peace,watcher,watcher,Uncommon,Skill,1,,Calm; draw,cards/0192-inner-peace-innerpeace.okf.md
193,INTIMIDATE,Intimidate,intimidate,ironclad,ironclad,Uncommon,Skill,0,,Exhaust; Weak,cards/0193-intimidate-intimidate.okf.md
194,IRON_WAVE,Iron Wave,iron-wave,ironclad,ironclad,Common,Attack,1,,Block,cards/0194-iron-wave-iron_wave.okf.md
195,J_A_X,J.A.X.,j-a-x,colorless,colorless,Special,Skill,0,,Strength,cards/0195-j-a-x-j_a_x.okf.md
196,JACK_OF_ALL_TRADES,Jack of All Trades,jack-of-all-trades,colorless,colorless,Uncommon,Skill,0,,Exhaust,cards/0196-jack-of-all-trades-jack_of_all_trades.okf.md
197,JUDGEMENT,Judgment,judgment,watcher,watcher,Rare,Skill,1,,,cards/0197-judgment-judgement.okf.md
198,JUGGERNAUT,Juggernaut,juggernaut,ironclad,ironclad,Rare,Power,2,,Block,cards/0198-juggernaut-juggernaut.okf.md
199,JUSTLUCKY,Just Lucky,just-lucky,watcher,watcher,Common,Attack,0,,Block; Scry,cards/0199-just-lucky-justlucky.okf.md
200,LEAP,Leap,leap,defect,defect,Common,Skill,1,,Block,cards/0200-leap-leap.okf.md
201,LEG_SWEEP,Leg Sweep,leg-sweep,silent,silent,Uncommon,Skill,2,,Block; Weak,cards/0201-leg-sweep-leg_sweep.okf.md
